;d;d;d;d;d;;;renewable;renewable;renewable;renewable;renewable;;;
h57;59676;52642;60834;44871;41552;;h57;0,373474618;0,286095213;0,21230615;0,310260127;0,219315846;;;
h58;60966;54387;62500;48258;44699;;h58;0,420508014;0,296387227;0,244619376;0,323320179;0,219586652;;;
h59;62591;56327;63736;50221;47533;;h59;0,488772426;0,308971774;0,281812017;0,32785697;0,225667475;;;
h60;63624;58181;65227;52668;50654;;h60;0,529799931;0,320548257;0,294607583;0,335454082;0,224682726;;;
h61;63294;58301;65331;53328;50720;;h61;0,538770514;0,318028096;0,282549089;0,329454243;0,216866283;;;
h62;62230;57489;63621;52906;49106;;h62;0,524157454;0,309670916;0,27772864;0,301012053;0,212545698;;;
h63;61210;56125;62233;51660;47630;;h63;0,501644926;0,294306061;0,264490831;0,269549811;0,199325447;;;
h64;61096;55477;61768;51104;47654;;h64;0,471959757;0,276990114;0,243587476;0,237953344;0,191275126;;;
h65;62642;56115;63372;53047;49376;;h65;0,460655675;0,266389178;0,226531635;0,21637003;0,18987186;;;
h66;65026;58398;66851;56014;52896;;h66;0,452105887;0,258275884;0,217008668;0,206155539;0,200716405;;;
h67;64498;58180;66745;55926;54073;;h67;0,451704219;0,25235757;0,235273306;0,19305522;0,212878051;;;
h68;62463;56025;64400;53865;52724;;h68;0,435006312;0,249739854;0,233784421;0,173552388;0,217235564;;;
h69;57984;52063;60535;49932;50689;;h69;0,423797865;0,234976587;0,237307624;0,185042012;0,218429572;;;
h70;55047;49803;57791;48014;49487;;h70;0,421961669;0,229692378;0,250501209;0,204531422;0,216509312;;;
h71;53315;48213;56150;47602;48983;;h71;0,418021499;0,213140609;0,263429447;0,213390245;0,208705179;;;
h72;48607;43634;52401;45492;45865;;h72;0,403446693;0,211238293;0,274470782;0,233094414;0,206132523;;;
h73;44861;40253;48162;42859;43721;;h73;0,393342638;0,207082121;0,273379916;0,239913022;0,202028283;;;
h74;42518;37551;45860;38999;42174;;h74;0,382272527;0,200903962;0,262692376;0,251375802;0,193056085;;;
h75;41893;36524;44570;37130;41258;;h75;0,370380284;0,195002195;0,25308096;0,253684465;0,185105414;;;
h76;42386;36925;44450;36367;41376;;h76;0,359788157;0,187393305;0,245724984;0,255751523;0,177339356;;;
h77;43735;38127;44816;36486;42537;;h77;0,349712254;0,184970816;0,237602453;0,257456176;0,167665629;;;
h78;46176;40677;44810;35879;45127;;h78;0,347590004;0,186677939;0,219632643;0,251939545;0,16215185;;;
h79;51143;45760;45266;35062;50741;;h79;0,347857675;0,196709318;0,210876231;0,250677834;0,163493372;;;
h80;57455;51089;48147;37629;56959;;h80;0,360572051;0,191035167;0,18960434;0,242154573;0,161118017;;;
h81;60299;54604;51522;40608;60455;;h81;0,36240751;0,18184922;0,176720325;0,242973343;0,159308809;;;
h82;61388;56527;55130;43522;61842;;h82;0,387759784;0,181637862;0,183398196;0,245147781;0,156785763;;;
h83;62412;58364;57453;46571;63034;;h83;0,425233734;0,19370153;0,190709948;0,263093608;0,15764729;;;
h84;63924;60157;59022;50262;64438;;h84;0,463300384;0,210496366;0,180169821;0,282690398;0,154804249;;;
h85;63715;59952;58857;50389;64624;;h85;0,476416267;0,231274489;0,158986379;0,287831199;0,152662736;;;
h86;62658;57783;57597;48319;63752;;h86;0,460069212;0,249207407;0,142932956;0,277563018;0,144945908;;;
h87;61576;55891;56415;47174;62423;;h87;0,439324704;0,27904141;0,128560057;0,249375856;0,136010634;;;
h88;60931;55192;56430;47092;61784;;h88;0,416782976;0,295055847;0,129798337;0,21560495;0,129844556;;;
h89;62328;55773;58724;49110;62640;;h89;0,402462574;0,306095241;0,136564656;0,191632439;0,127383048;;;
h90;66132;57545;62204;52676;65770;;h90;0,408160144;0,30167298;0,152234802;0,184250087;0,134410653;;;
h91;65718;56940;62410;53326;65900;;h91;0,417490393;0,292877233;0,153723687;0,184478269;0,136564473;;;
h92;63711;54685;60109;51743;64063;;h92;0,428541384;0,289885704;0,148431511;0,190773402;0,133672201;;;
h93;59642;50808;56121;49435;59838;;h93;0,441485192;0,280374592;0,13650569;0,189041905;0,131567611;;;
h94;56389;48394;53635;48114;56845;;h94;0,448578475;0,269806689;0,12561177;0,174975168;0,12657075;;;
h95;54764;46831;52600;48243;54723;;h95;0,457029234;0,25697888;0,112388702;0,166706934;0,122755412;;;
h96;49902;43296;49266;45460;50849;;h96;0,442919144;0,249516315;0,103750221;0,16635795;0,119075458;;;
h97;46341;39557;45615;41878;48136;;h97;0,440490985;0,236282049;0,089745858;0,165224043;0,117274226;;;
h98;44338;37389;42883;39951;46335;;h98;0,434372789;0,223129075;0,080709358;0,164459117;0,114517439;;;
h99;43477;36268;41518;38841;45297;;h99;0,4364568;0,201960752;0,077864261;0,169974637;0,11328673;;;
h100;43642;36424;41197;38772;45878;;h100;0,442230847;0,177768384;0,079485819;0,170779822;0,113114431;;;
h101;44848;37087;41429;39928;46581;;h101;0,44483108;0,159819208;0,084350492;0,181797442;0,113951313;;;
h102;46843;37268;41145;43623;48672;;h102;0,441886699;0,14756044;0,088596026;0,199524941;0,11552662;;;
h103;51898;37614;40357;49624;53675;;h103;0,434850773;0,14265043;0,097352438;0,207066844;0,115415856;;;
h104;58410;40480;42035;55406;59388;;h104;0,433627134;0,127465167;0,096585884;0,206087202;0,114738967;;;
h105;62150;44214;44757;59000;62233;;h105;0,422404069;0,116848489;0,108172652;0,206140881;0,114763581;;;
h106;63645;47645;48287;60326;63037;;h106;0,417509512;0,108426683;0,119376142;0,21168324;0,11924336;;;
h107;64770;50441;51415;61101;64221;;h107;0,415884366;0,108020225;0,131744207;0,224069675;0,128818274;;;
h108;66180;52374;54277;62023;65373;;h108;0,423589469;0,106231811;0,143950115;0,229786492;0,133728801;;;
h109;66271;52586;54325;62199;65424;;h109;0,418503719;0,099565903;0,162745445;0,228511615;0,135661014;;;
h110;65357;51492;52666;61552;64227;;h110;0,410703019;0,089843432;0,167904947;0,207925708;0,126947596;;;
h111;64179;50279;51048;60713;63358;;h111;0,401219815;0,078169964;0,148343063;0,161238375;0,117926502;;;
h112;63335;50220;50721;60059;63125;;h112;0,394126532;0,065520998;0,115720267;0,107881423;0,107391636;;;
h113;64064;51775;52782;60715;64071;;h113;0,398810776;0,054741737;0,095745622;0,071554142;0,100598124;;;
h114;66745;54897;57484;64298;66527;;h114;0,409804409;0,047799437;0,101406333;0,061314868;0,102985699;;;
h115;66359;55323;58970;64003;66345;;h115;0,424067453;0,043994992;0,114172416;0,05734262;0,106111699;;;
h116;63456;53540;57640;62400;64936;;h116;0,425310212;0,041556246;0,122722448;0,053101977;0,104942526;;;
h117;59750;50285;54888;58231;61109;;h117;0,434850773;0,037475409;0,127380742;0,043144517;0,103502597;;;
h118;56330;48233;53247;55508;57703;;h118;0,427948684;0,037475409;0,13968984;0,035602614;0,100733502;;;
h119;54440;47851;53082;54178;54935;;h119;0,415119592;0,043117044;0,141930538;0,028490143;0,098456691;;;
h120;49934;44498;49625;50028;50917;;h120;0,406611475;0,047831954;0,150775399;0,024316599;0,098062865;;;
h121;46237;40088;46638;46822;48150;;h121;0,397878035;0,056660218;0,161296979;0,020032739;0,09504295;;;
h122;43505;37034;44887;44575;46147;;h122;0,382469891;0,060367113;0,173736183;0,015671962;0,093110832;;;
h123;42404;35942;44168;43518;45356;;h123;0,371439495;0,067211862;0,185939573;0,012075998;0,089381969;;;
h124;42589;35978;44440;43582;45404;;h124;0,35209329;0,068154844;0,203006632;0,011123336;0,088754338;;;
h125;43554;36075;45634;44122;46119;;h125;0,33630281;0,085762596;0,216271186;0,012250429;0,08815132;;;
h126;44852;35299;48087;45607;47530;;h126;0,309539285;0,095566358;0,231864407;0,014920567;0,090649536;;;
h127;48186;34344;53115;49800;50884;;h127;0,304301281;0,10065521;0,254988946;0,01906666;0,088692806;;;
h128;52909;35677;58809;54889;55973;;h128;0,279946473;0,102622466;0,2633014;0,024272757;0,089406582;;;
h129;56066;38519;61610;57149;58776;;h129;0,265092716;0,107743834;0,281724392;0,031692787;0,089788082;;;
h130;57802;41711;62994;58348;59740;;h130;0,251060983;0,120100151;0,307590273;0,062781773;0,093233897;;;
h131;59220;44464;64752;59850;61392;;h131;0,237946855;0,137073829;0,337052321;0,104229283;0,104038987;;;
h132;60829;47515;66065;60874;63374;;h132;0,239170331;0,165282;0,333809875;0,135506119;0,11067218;;;
h133;60848;47847;66158;60612;63180;;h133;0,2488052;0,181475279;0,318290346;0,143275011;0,104506633;;;
h134;59366;46070;65108;59724;61725;;h134;0,238386542;0,181475279;0,289152542;0,135814727;0,094415319;;;
h135;57867;44831;64078;58414;60540;;h135;0,219155037;0,166306274;0,257671334;0,111354122;0,081715031;;;
h136;57065;44923;63531;58117;60001;;h136;0,173293825;0,150893394;0,214782609;0,09036872;0,072079057;;;
h137;58631;47239;65057;59393;61018;;h137;0,144809788;0,13725267;0,199248342;0,091723916;0,06923626;;;
h138;62623;50769;68861;63384;62917;;h138;0,130491302;0,120701709;0,211304348;0,109059682;0,0740604;;;
h139;62644;52054;68984;63643;64084;;h139;0,128847257;0,109922448;0,226352248;0,126153929;0,076804745;;;
h140;60339;50946;67189;62652;62488;;h140;0,141349646;0,094428276;0,225055269;0,128891155;0,079561397;;;
h141;56657;48621;63404;59076;59066;;h141;0,153335882;0,083876632;0,226308032;0,130876986;0,081259691;;;
h142;54231;47545;60439;56322;56412;;h142;0,174192315;0,073211179;0,228194547;0,124838987;0,079179896;;;
h143;53034;47646;57997;54394;54652;;h143;0,196061938;0,070804949;0,226440678;0,130085337;0,079216816;;;
h144;49547;43885;53333;50180;50689;;h144;0,211699484;0,058237274;0,221709654;0,128716724;0,078416894;;;
