;d;d;d;d;d;;;renewable;renewable;renewable;renewable;renewable;;;
h1841;45190;60338;68446;60637;61138;;h1841;0,243481839;0,147266809;0,17929612;0,148595758;0,122073395;;;
h1842;46838;60683;68901;60978;61682;;h1842;0,223338196;0,131712714;0,146295409;0,082443011;0,070689466;;;
h1843;50335;62865;71180;63580;63194;;h1843;0,188437512;0,117040553;0,13274362;0,065081716;0,050104206;;;
h1844;52015;64292;72402;65980;64324;;h1844;0,177103206;0,114651316;0,134152541;0,077365526;0,048081025;;;
h1845;49349;60652;68042;61633;60415;;h1845;0,17858078;0,11030579;0,152337792;0,083963611;0,043023072;;;
h1846;47400;57733;64083;57858;56495;;h1846;0,173456028;0,104164328;0,160094122;0,08153065;0,040524565;;;
h1847;46355;55447;59938;54564;53892;;h1847;0,186398833;0,094495133;0,167356602;0,074800338;0,036136943;;;
h1848;42953;51200;54758;49693;49981;;h1848;0,187221786;0,087872617;0,183087135;0,063997461;0,032139331;;;
h1849;39721;48007;50764;46480;46359;;h1849;0,176631146;0,081100582;0,195350053;0,055721498;0,029542242;;;
h1850;37809;45987;48853;44383;44099;;h1850;0,163619368;0,07548864;0,21152757;0,049099944;0,027043826;;;
h1851;37489;45081;48007;43556;42945;;h1851;0,155169191;0,072907146;0,206314169;0,043852925;0,02459416;;;
h1852;38494;45540;48426;44134;42868;;h1852;0,140231819;0,070870813;0,207025748;0,043073141;0,023728855;;;
h1853;40796;46540;50325;45923;43151;;h1853;0,125014021;0,069331538;0,216929757;0,043244958;0,022095744;;;
h1854;44877;49320;54400;49632;43265;;h1854;0,118825949;0,070710472;0,219572763;0,040998123;0,021011066;;;
h1855;52660;55262;62393;56467;44079;;h1855;0,118956814;0,072714737;0,217481593;0,042610557;0,020962317;;;
h1856;58573;60499;67753;61655;47207;;h1856;0,141820901;0,084195167;0,229854344;0,076194127;0,03801248;;;
h1857;61082;62975;70498;63968;51358;;h1857;0,209029725;0,100117049;0,267858439;0,123020803;0,071271876;;;
h1858;61781;64150;71076;64201;54708;;h1858;0,278818471;0,128064521;0,302522473;0,172755148;0,108638424;;;
h1859;63323;65271;72211;65471;56260;;h1859;0,319218546;0,1629227;0,337956173;0,222582009;0,137546921;;;
h1860;64178;66752;73419;66267;57104;;h1860;0,330790802;0,194782497;0,380912273;0,259707647;0,159618291;;;
h1861;63513;66663;72282;65484;56184;;h1861;0,346700318;0,205429153;0,399805405;0,274378155;0,175510652;;;
h1862;63018;65452;71350;64836;54315;;h1862;0,351355394;0,214312056;0,425451271;0,2642674;0,181726222;;;
h1863;62195;63845;70041;63724;52390;;h1863;0,331968592;0,199416358;0,427455309;0,231186064;0,17659533;;;
h1864;61130;63148;68797;62455;51423;;h1864;0,286801271;0,158000224;0,400139411;0,178477968;0,160105787;;;
h1865;59351;62018;67232;61009;50980;;h1865;0,220863713;0,125338721;0,349922307;0,110213846;0,13489007;;;
h1866;59203;61864;67152;61109;52064;;h1866;0,139839222;0,087498196;0,279316304;0,046707726;0,106712816;;;
h1867;61734;63455;69470;62911;54581;;h1867;0,083174425;0,062789616;0,232076211;0,02293093;0,102508166;;;
h1868;64716;65131;72190;65266;55764;;h1868;0,080650589;0,064184585;0,238451373;0,027688932;0,114074002;;;
h1869;61065;61168;68118;61696;52482;;h1869;0,084763507;0,064056312;0,253016947;0,029671433;0,124969532;;;
h1870;57132;57892;64055;57795;49489;;h1870;0,091680688;0,062244456;0,266580503;0,027199915;0,130368547;;;
h1871;54043;55181;60341;54645;48296;;h1871;0,095737521;0,054211362;0,270341703;0,02419973;0,135206942;;;
h1872;49035;50955;55115;50011;45085;;h1872;0,096896616;0,048166498;0,264155327;0,020578362;0,139594404;;;
h1873;46066;47704;51258;46549;42460;;h1873;0,096941159;0,044257434;0,251825718;0,016201929;0,140102859;;;
h1874;44506;45990;49028;44502;39996;;h1874;0,099930863;0,042365953;0,235608403;0,015607242;0,137848246;;;
h1875;44162;45127;48188;44090;38631;;h1875;0,106582955;0,041452272;0,21851997;0,014470728;0,137970117;;;
h1876;44682;45624;49007;44852;38424;;h1876;0,11734589;0,042221688;0,203014069;0,013426721;0,141516562;;;
h1877;46097;46753;50876;46287;38788;;h1877;0,124745408;0,041901098;0,188698695;0,013902471;0,144514588;;;
h1878;49456;49553;55076;49884;38620;;h1878;0,131659099;0,040234031;0,181366784;0,013030263;0,145611427;;;
h1879;55243;55517;62239;56667;38206;;h1879;0,140684269;0,041436243;0,171029516;0,015223999;0,151302801;;;
h1880;60352;60419;66955;61745;40271;;h1880;0,165012987;0,057642061;0,195174006;0,052226774;0,16242962;;;
h1881;63052;63659;69243;63792;43950;;h1881;0,224358615;0,087280596;0,255789306;0,112686666;0,181587735;;;
h1882;63902;64891;69310;64325;47337;;h1882;0,306818394;0,123811814;0,329108411;0,167001454;0,203512321;;;
h1883;65252;66688;70123;66528;49651;;h1883;0,387876749;0,156672277;0,394776195;0,10288093;0,226302191;;;
h1884;66300;68383;71166;66413;52056;;h1884;0,442233309;0,181261521;0,432698869;0,203118805;0,255880274;;;
h1885;65465;67900;70182;65696;51352;;h1885;0,455444065;0,186262723;0,445170376;0,265336329;0,279523241;;;
h1886;64313;67228;69476;63861;49907;;h1886;0,430722948;0,171050733;0,43779491;0,254605524;0,288724499;;;
h1887;63017;65514;68003;62157;49152;;h1887;0,384120934;0,160198766;0,405316724;0,229403991;0,276963951;;;
h1888;61974;64832;66662;60542;48007;;h1888;0,310536839;0,13501643;0,354269205;0,183018369;0,246191532;;;
h1889;60360;63527;65274;59025;47500;;h1889;0,223816731;0,099703454;0,285204059;0,117497027;0,203122334;;;
h1890;60270;63080;65107;59423;49286;;h1890;0,138049592;0,071219043;0,215804986;0,0537201;0,152289955;;;
h1891;62678;64514;67993;61780;52220;;h1891;0,088719472;0,058796185;0,215790467;0,02506938;0,124052453;;;
h1892;65526;65619;71546;63832;53655;;h1892;0,086159538;0,061152521;0,255789306;0,027976741;0,120688815;;;
h1893;61871;61555;67272;59929;51056;;h1893;0,086122167;0,056487938;0,285102429;0,035258359;0,121712531;;;
h1894;58032;58287;63149;56672;49666;;h1894;0,083992003;0,049659373;0,294641172;0,041667768;0,122504692;;;
h1895;54838;55955;58946;54003;49460;;h1895;0,082160809;0,045988619;0,294975101;0,04630633;0,11940917;;;
h1896;50216;51836;53728;49901;46185;;h1896;0,075602145;0,041035505;0,284623314;0,051129906;0,118824189;;;
h1897;46406;48895;49999;46002;43539;;h1897;0,072402331;0,039824356;0,273937212;0,050438046;0,12388367;;;
h1898;44662;46836;47884;43927;42000;;h1898;0,071524613;0,038157663;0,255214154;0,050200193;0,128379449;;;
h1899;43694;45820;46840;42957;41584;;h1899;0,063681183;0,03543326;0,237986038;0,052354084;0,130316654;;;
h1900;44470;46146;47141;42693;42243;;h1900;0,061328154;0,035401208;0,217942205;0,051191247;0,132960513;;;
h1901;46302;47361;48849;43163;43985;;h1901;0,054381116;0,037676886;0,204908634;0,053279068;0,130389756;;;
h1902;49555;50005;52912;43610;47486;;h1902;0,04663106;0,039455761;0,194966545;0,051825522;0,122043934;;;
h1903;55901;56043;60306;43958;54338;;h1903;0,048050347;0,03328579;0,188769068;0,050530544;0,126125468;;;
h1904;61024;60941;65679;47081;60296;;h1904;0,079610816;0,038061507;0,208725816;0,073813708;0,139344762;;;
h1905;63326;63690;68295;51077;63490;;h1905;0,144580563;0,05961634;0,261019754;0,112953738;0,171217272;;;
h1906;63991;65046;68766;54294;64180;;h1906;0,214685889;0,088879629;0,329656454;0,152133409;0,217990424;;;
h1907;65187;66116;70188;55674;65777;;h1907;0,269776649;0,113928108;0,395854802;0,183239293;0,267066291;;;
h1908;66410;67121;71428;56625;68061;;h1908;0,306902219;0,128720012;0,436552054;0,205689972;0,300132802;;;
h1909;65764;66605;70830;56580;67694;;h1909;0,322607754;0,127774484;0,443692942;0,212772705;0,301387721;;;
h1910;65345;65654;69658;55018;66998;;h1910;0,31127213;0,126524464;0,437568034;0,19160379;0,291007225;;;
h1911;63862;64654;67746;53213;65869;;h1911;0,282158064;0,122485937;0,406653217;0,164647119;0,274254663;;;
h1912;62206;63741;66617;52382;64880;;h1912;0,22755285;0,109617141;0,347363532;0,143319635;0,256125346;;;
h1913;59853;61884;65235;51944;63405;;h1913;0,153133637;0,07977692;0,27353082;0,128136686;0,222559304;;;
h1914;59769;61713;65564;52969;63722;;h1914;0,073690894;0,047019984;0,224067113;0,12228286;0,196108532;;;
h1915;62236;62997;67287;55831;65231;;h1915;0,03480989;0,024038847;0,193558687;0,129008814;0,186081363;;;
h1916;65621;64872;68965;56840;66244;;h1916;0,035594233;0,020657382;0,163021234;0,145248887;0,184205076;;;
h1917;62292;62108;64476;53094;62412;;h1917;0,038358109;0,023493966;0,137389512;0,159414353;0,179502175;;;
h1918;58392;58960;60617;50393;58999;;h1918;0,037648465;0,029824196;0,104950725;0,170672728;0,179234134;;;
h1919;55264;56754;57271;49589;55782;;h1919;0,037741839;0,0357057;0,077156417;0,178019742;0,16965776;;;
h1920;50571;52848;52903;46527;51163;;h1920;0,036994846;0,037773041;0,06464535;0,18922526;0,161543429;;;
h1921;46712;49467;49105;43438;47827;;h1921;0,035385678;0,03829085;0,062509978;0,190915215;0,15468927;;;
h1922;44791;47454;46781;40729;46137;;h1922;0,036860081;0,043593893;0,06560137;0,185737495;0,149574367;;;
h1923;44133;46552;45791;39712;45513;;h1923;0,037289338;0,046237403;0,070042525;0,169636371;0,142035975;;;
h1924;44882;46833;45860;39570;46131;;h1924;0,035721618;0,050034446;0,069302332;0,154724009;0,136653149;;;
h1925;46423;47747;46361;38907;47432;;h1925;0,029600045;0,050787446;0,072596914;0,135069807;0,131769635;;;
h1926;49941;50355;46818;38458;50512;;h1926;0,030383905;0,055049105;0,076355931;0,121253748;0,124145994;;;
h1927;56220;55519;47667;37144;56803;;h1927;0,036225528;0,059615169;0,08544143;0,115811859;0,116217895;;;
h1928;61342;60390;51242;39458;62172;;h1928;0,075325209;0,092090296;0,113670339;0,122561386;0,128164846;;;
h1929;63656;62946;55342;42705;64947;;h1929;0,139228458;0,155518529;0,149736579;0,153469204;0,155955817;;;
h1930;64150;63933;58455;46491;65959;;h1930;0,210447733;0,235961357;0,196412244;0,192843651;0,190932008;;;
h1931;65773;65463;60158;48837;67621;;h1931;0,277859689;0,304211994;0,250576915;0,199857349;0,214156102;;;
h1932;67280;66696;61048;50749;69075;;h1932;0,32065471;0,337840652;0,281650484;0,198232707;0,222327768;;;
h1933;66525;66270;59843;49710;67522;;h1933;0,333103152;0,354102248;0,278297848;0,19561743;0,206337608;;;
h1934;65745;64817;57925;46934;66871;;h1934;0,320188126;0,362689652;0,24276861;0,189369824;0,195230962;;;
h1935;64174;62805;56102;45053;65676;;h1935;0,283570669;0,360542801;0,20588961;0,178076583;0,171239633;;;
h1936;62690;61365;55577;44673;64486;;h1936;0,226572852;0,341541567;0,148096544;0,152425735;0,140684179;;;
h1937;60646;59886;55227;44551;62979;;h1937;0,15016517;0,282727462;0,111057895;0,103395897;0,105500956;;;
h1938;60504;59892;56576;46526;63134;;h1938;0,073962785;0,225259144;0,074135354;0,047841076;0,074093018;;;
h1939;62566;61109;59119;50431;64453;;h1939;0,036561468;0,204271272;0,064208067;0,01993158;0,053657764;;;
h1940;65917;62523;60325;53233;65927;;h1940;0,044474721;0,210439464;0,075891496;0,024607378;0,054096185;;;
h1941;62651;58837;56497;50940;61985;;h1941;0,05141748;0,235656952;0,084657697;0,033972183;0,055606299;;;
h1942;58800;56204;53528;49100;58368;;h1942;0,053078517;0,253472612;0,089127879;0,041646304;0,055021738;;;
h1943;55063;54733;51807;49429;55374;;h1943;0,046956944;0,254097441;0,084033613;0,049346841;0,052987956;;;
h1944;49877;51686;48270;45997;50800;;h1944;0,039715571;0,258967909;0,080318138;0,052067786;0,054266681;;;
h1945;46680;49155;44554;44095;47355;;h1945;0,038444328;0,259395726;0,086107805;0,057395989;0,055978869;;;
h1946;44890;46998;42286;42741;45458;;h1946;0,033317175;0,257617507;0,081753795;0,05574554;0,056794391;;;
h1947;44198;45561;41421;42130;44658;;h1947;0,029420538;0,255550928;0,085759484;0,051256321;0,064024539;;;
h1948;44828;45265;41269;42694;45242;;h1948;0,023454396;0,259924386;0,08539665;0,048179886;0,069282828;;;
h1949;46332;45132;41613;44376;46558;;h1949;0,018774704;0,255711127;0,083451859;0,045552372;0,069331516;;;
h1950;49847;44777;41611;48166;49895;;h1950;0,016556044;0,259043286;0,078618908;0,045169468;0,068978529;;;
h1951;55911;43931;40711;55811;56661;;h1951;0,021888284;0,254525648;0,078502801;0,050622549;0,067603097;;;
h1952;61068;46583;42986;61574;62036;;h1952;0,061302111;0,282977155;0,086470639;0,078482116;0,08248941;;;
h1953;63673;50111;46850;64434;64917;;h1953;0,132709374;0,342667649;0,104496241;0,113590451;0,1130167;;;
h1954;64408;53389;50348;64873;65965;;h1954;0,210847192;0,413427958;0,134219616;0,153874592;0,146660013;;;
h1955;65495;55236;52901;65222;67027;;h1955;0,270974718;0,473534972;0,154335143;0,199691036;0,171697746;;;
h1956;66325;56038;55344;66376;67704;;h1956;0,304851219;0,494777482;0,168137355;0,232660391;0,187655193;;;
h1957;65374;54719;54425;65840;66805;;h1957;0,313669923;0,490307904;0,167832574;0,25040601;0,19296217;;;
h1958;63913;52964;52216;64925;66128;;h1958;0,295063017;0,485982506;0,155539752;0,252003644;0,198403038;;;
h1959;61760;51506;50572;63895;64859;;h1959;0,253076292;0,45443914;0,133610055;0,237889011;0,19147719;;;
h1960;60159;51097;49699;63180;64220;;h1960;0,194104706;0,414020698;0,105018722;0,196627804;0,169299869;;;
h1961;58632;50648;49487;61573;62625;;h1961;0,121336416;0,368347698;0,071100984;0,130464634;0,129278446;;;
h1962;58507;51634;51336;61184;62831;;h1962;0,052017302;0,313238922;0,038605556;0,06649326;0,09171576;;;
h1963;59969;53594;54864;63198;64092;;h1963;0,018923857;0,283569895;0,013584511;0,03151696;0,063866303;;;
h1964;62970;55091;58079;65706;65527;;h1964;0,021403535;0,279324597;0,008069432;0,024466245;0,05932616;;;
h1965;59444;51830;55762;62060;62041;;h1965;0,027705273;0,286469514;0,008156512;0,023357144;0,059764351;;;
h1966;55698;50008;53609;58405;58500;;h1966;0,02742561;0,292092531;0,010449624;0,023885287;0,057013487;;;
h1967;52478;50299;53002;55365;56186;;h1967;0,021925572;0,270177181;0,012815303;0,023304329;0,053057598;;;
h1968;48328;48189;49669;50444;51499;;h1968;0,020042509;0,24989587;0,015442222;0,022736575;0,049892887;;;
h1969;44858;46063;46810;47249;48226;;h1969;0,017763281;0,231725486;0,018778389;0,019905226;0,050063872;;;
h1970;42879;43793;45266;45214;45930;;h1970;0,014743709;0,229578841;0,021361506;0,016776885;0,046985826;;;
h1971;41788;42327;44863;44582;45239;;h1971;0,012712022;0,226871506;0,028124048;0,014321731;0,0433968;;;
h1972;41835;41558;45714;45161;45880;;h1972;0,010400746;0,223635519;0,026585787;0,01330535;0,036571568;;;
h1973;42356;41250;47603;46852;47257;;h1973;0,008257223;0,214968842;0,026252014;0,011998574;0,030512805;;;
h1974;42740;40361;52132;50526;50366;;h1974;0,00749301;0,205405059;0,028922202;0,010823797;0,026911613;;;
h1975;42851;38262;60240;57365;55739;;h1975;0,013159366;0,210082822;0,02921244;0,016090497;0,026437131;;;
h1976;46846;39873;66189;62640;60805;;h1976;0,054352283;0,229306506;0,045886604;0,048297892;0,042642497;;;
h1977;51199;43616;69017;64670;63831;;h1977;0,128406337;0,28553578;0,07507002;0,095816999;0,07175619;;;
h1978;54136;46874;69653;64771;64312;;h1978;0,203914259;0,36814956;0,117038413;0,15264193;0,105845854;;;
h1979;55613;48923;70940;66267;65495;;h1979;0,26221808;0,441952485;0,151199408;0,204978946;0,13728329;;;
h1980;56369;51321;72272;67528;66711;;h1980;0,296589003;0,500969194;0,167031883;0,235338376;0,149315652;;;
h1981;54953;50317;71529;66794;65624;;h1981;0,300894688;0,528523141;0,171646664;0,23511398;0,145410305;;;
h1982;52157;48067;71160;66111;64191;;h1982;0,275060578;0,523557022;0,180977811;0,214984358;0,141796946;;;
h1983;50268;46135;69899;65038;62957;;h1983;0,240093197;0,493792352;0,173010782;0,179041434;0,137100797;;;
h1984;49087;45593;68695;63980;62101;;h1984;0,190382106;0,455697419;0,146439507;0,133053499;0,117513231;;;
h1985;48367;45331;67113;62149;61350;;h1985;0,13054986;0,388510645;0,104224412;0,080214892;0,084092706;;;
h1986;48811;46978;66958;61699;61472;;h1986;0,069804287;0,330775515;0,054376061;0,034332555;0,051815804;;;
h1987;50908;49740;68847;63652;62731;;h1987;0,036197577;0,281659004;0,020098971;0,010876596;0,041340714;;;
h1988;53625;52210;71830;66037;63743;;h1988;0,038993476;0,274754498;0,011290252;0,011945775;0,046012531;;;
h1989;50267;50300;67864;62484;60522;;h1989;0,043131407;0,281707063;0,008213731;0,018677649;0,053287913;;;
h1990;47267;48981;63843;58361;56343;;h1990;0,041975769;0,268987392;0,00920054;0,022743172;0,065344607;;;
h1991;45635;50065;60213;55088;53330;;h1991;0,03248835;0,25637986;0,008039588;0,026399504;0,074785571;;;
h1992;42077;47982;55452;49827;48901;;h1992;0,026877912;0,245726735;0,009171516;0,030649824;0,078751749;;;
h1993;38750;45488;51888;46684;45235;;h1993;0,023465603;0,234793051;0,011753268;0,037067328;0,082234441;;;
h1994;36702;44093;50085;44812;43142;;h1994;0,023335135;0,226915379;0,01326233;0,041169797;0,087477495;;;
h1995;35949;43252;49308;43688;41525;;h1995;0,025124411;0,224529661;0,014132943;0,043623364;0,092160965;;;
h1996;35902;42967;49842;44422;41396;;h1996;0,028852068;0,222768393;0,013900779;0,0482271;0,096442995;;;
h1997;36236;43883;51520;46361;41842;;h1997;0,031163215;0,22241614;0,014249024;0,055587801;0,099812661;;;
h1998;35810;46894;55234;49822;40906;;h1998;0,03339981;0,226803298;0,01532278;0,059070283;0,103851394;;;
h1999;36299;51789;61821;56557;39262;;h1999;0,048254524;0,227699944;0,017949127;0,069359434;0,111490925;;;
h2000;39888;57295;67302;61791;41088;;h2000;0,094440199;0,247634297;0,046142461;0,118206522;0,124531653;;;
h2001;44287;60308;69786;64111;44886;;h2001;0,16895607;0,307421343;0,096173658;0,172026699;0,142413994;;;
h2002;47513;61420;69885;64832;48249;;h2002;0,247721469;0,382851653;0,156782797;0,226664732;0,159748917;;;
h2003;50109;62422;70819;66076;50419;;h2003;0,309954709;0,438443679;0,203215462;0,272979105;0,17154883;;;
h2004;49526;63082;71815;67386;53257;;h2004;0,342310775;0,457241214;0,224240753;0,297950084;0,168057515;;;
h2005;47185;62839;71248;66453;52905;;h2005;0,353959704;0,473316788;0,228361652;0,300205783;0,157534913;;;
h2006;44767;62018;70742;66177;50786;;h2006;0,341360222;0,458378032;0,220279467;0,278097298;0,14620943;;;
h2007;42992;60995;69438;65229;49124;;h2007;0,305742456;0,436282123;0,205101789;0,238246623;0,140479782;;;
h2008;41927;61047;68264;63608;48636;;h2008;0,254375338;0,39843087;0,172903638;0,187869354;0,133862099;;;
h2009;42930;60298;66981;62056;48034;;h2009;0,179710361;0,344648147;0,126180768;0,13991927;0,11531069;;;
h2010;44688;59991;66904;61988;49337;;h2010;0,100013047;0,299911937;0,085581206;0,106373997;0,089995621;;;
h2011;46712;61604;68722;64199;51092;;h2011;0,056529924;0,255191738;0,048464094;0,098591178;0,068828767;;;
h2012;49554;62888;71841;65852;52556;;h2012;0,059046092;0,232551437;0,039453255;0,105661672;0,064047978;;;
h2013;47867;60064;68079;61205;50151;;h2013;0,062251878;0,223120647;0,038074786;0,110436893;0,068305679;;;
h2014;47029;57574;63927;58168;48124;;h2014;0,059791624;0,214714595;0,043501603;0,112930034;0,070458858;;;
h2015;43306;55708;60392;54866;47046;;h2015;0,049633758;0,196253302;0,04258746;0,10931564;0,067928568;;;
h2016;40228;50772;55717;49966;43903;;h2016;0,040081914;0,183219918;0,035985316;0,107178662;0,061846139;;;
h2017;38868;47736;52162;46945;41323;;h2017;0,031480964;0,169794717;0,032051747;0,107179115;0,057778156;;;
h2018;38493;46225;50289;44894;39750;;h2018;0,023792237;0,162146594;0,025786428;0,107442811;0,050856941;;;
h2019;39623;44796;49695;43638;38579;;h2019;0,021744392;0,154722476;0,023509449;0,104252093;0,045225092;;;
h2020;41660;44950;50391;44249;38849;;h2020;0,01973378;0,150530408;0,025423852;0,095352363;0,048825583;;;
h2021;45718;45806;52037;46254;39579;;h2021;0,01511682;0,144338309;0,023828516;0,081903883;0,05148946;;;
h2022;54575;48873;55733;49816;40430;;h2022;0,013087592;0,142338277;0,021261476;0,069576109;0,05298561;;;
h2023;59517;53446;62171;57077;40438;;h2023;0,021092805;0,144642314;0,026279532;0,061441097;0,057705173;;;
h2024;61648;58691;67354;62973;43129;;h2024;0,066182631;0,156738508;0,065916375;0,063036456;0,083650606;;;
h2025;62443;62068;69535;65620;46671;;h2025;0,141897049;0,190707051;0,135211962;0,06952337;0,129763657;;;
h2026;64103;63607;69816;67014;49535;;h2026;0,22036675;0,263700219;0,212295688;0,086927286;0,192346523;;;
h2027;65268;63959;70560;67512;51190;;h2027;0,28286326;0,350517608;0,266087511;0,103566484;0,25528214;;;
h2028;65055;63687;71801;68259;52286;;h2028;0,322628688;0,39251828;0,290612174;0,119230009;0,288331245;;;
h2029;64403;62446;71040;67370;51086;;h2029;0,340016755;0,405318485;0,286275761;0,132151098;0,304618603;;;
h2030;63096;61741;70317;66548;49481;;h2030;0,324211114;0,392838285;0,271613175;0,129250445;0,311393852;;;
h2031;61311;61136;69184;65663;48021;;h2031;0,287107884;0,364949839;0,250192165;0,1173314;0,312975149;;;
h2032;59174;60303;68091;64939;47222;;h2032;0,223903937;0,333973344;0,214050558;0,101430549;0,292698057;;;
h2033;58464;58948;66541;63764;47137;;h2033;0,146588476;0,280052481;0,162086119;0,080361263;0,246925594;;;
h2034;58772;59003;66567;63547;48573;;h2034;0,071078842;0,216435463;0,11567635;0,059226053;0,187140407;;;
h2035;59771;60426;68611;65100;50852;;h2035;0,032225635;0,164226628;0,094400371;0,055231063;0,166036175;;;
h2036;61248;63000;71992;66761;53801;;h2036;0,035762822;0,140866254;0,10978811;0,057103303;0,201335588;;;
h2037;57735;60364;68229;62687;51384;;h2037;0,043693568;0,131202099;0,125697959;0,068297185;0,233302113;;;
h2038;53502;57264;64225;58799;48680;;h2038;0,045220143;0,122977968;0,135037925;0,077421056;0,254260379;;;
h2039;48186;55649;60683;56305;47210;;h2039;0,051903565;0,111057777;0,136807298;0,085160525;0,254929389;;;
h2040;44557;52010;55652;51458;43371;;h2040;0,058523984;0,102913647;0,133138026;0,083749753;0,253919792;;;
h2041;42493;49062;52068;47864;40338;;h2041;0,065233148;0,097825044;0,125063423;0,084511496;0,244492829;;;
h2042;41609;46963;49968;45650;38328;;h2042;0,073782222;0,098464737;0,117423638;0,085143949;0,245879505;;;
h2043;42105;46161;49286;45277;37540;;h2043;0,079171855;0,096337758;0,111190038;0,089584294;0,251535683;;;
h2044;43506;46207;49863;45864;37733;;h2044;0,085676585;0,096209819;0,115365101;0,08743659;0,259636788;;;
h2045;47065;47038;51550;46893;38608;;h2045;0,092478674;0,094642572;0,1189313;0,090967784;0,264903723;;;
h2046;54854;49555;55491;50068;37444;;h2046;0,098871894;0,097153366;0,121091315;0,094419922;0,263091314;;;
h2047;59587;53699;62014;56319;37955;;h2047;0,112903526;0,102606749;0,138139488;0,096383161;0,263675177;;;
h2048;61580;58920;67033;61876;41065;;h2048;0,150686714;0,120422197;0,175251156;0,113433032;0,297198672;;;
h2049;62383;61796;69331;63898;45121;;h2049;0,210418719;0,16510475;0,228207767;0,151591014;0,333069784;;;
h2050;63960;62855;69602;65556;47047;;h2050;0,278662628;0,23723013;0,304779577;0,210079715;0,356631108;;;
h2051;65660;63649;70570;68213;48325;;h2051;0,334064341;0,315720454;0,381278903;0,266921405;0,370315408;;;
h2052;65042;64087;71669;70019;47815;;h2052;0,364190533;0,365072765;0,433148258;0,302391462;0,385410711;;;
h2053;64412;62981;70778;67938;46118;;h2053;0,385080008;0,379401887;0,445021093;0,303669543;0,389072022;;;
h2054;63101;61873;69819;66352;43966;;h2054;0,382329437;0,372909004;0,419318363;0,303709072;0,366435149;;;
h2055;61608;60747;68267;65284;43167;;h2055;0,343691341;0,352614745;0,373537641;0,291705646;0,332449429;;;
h2056;59432;60105;67056;63818;42401;;h2056;0,281431784;0,318902927;0,311506067;0,261716846;0,280522071;;;
h2057;58234;58751;65561;62297;43136;;h2057;0,198450016;0,268671038;0,242704513;0,219658739;0,21954483;;;
h2058;58321;58631;65985;62191;44177;;h2058;0,11780995;0,212681913;0,166335658;0,162593056;0,165427984;;;
h2059;59188;59987;67685;63267;45660;;h2059;0,073373353;0,155925156;0,118728345;0,127202055;0,131296299;;;
h2060;60545;62515;71503;64551;47190;;h2060;0,079580724;0,135806813;0,124164625;0,123315106;0,133364148;;;
h2061;57184;60021;68078;60977;46360;;h2061;0,090099801;0,130289461;0,133123614;0,121470453;0,150770578;;;
h2062;53194;57359;63756;56693;45900;;h2062;0,087033286;0,113273629;0,13055769;0,112879636;0,169405554;;;
h2063;47903;55764;59886;54192;42904;;h2063;0,080305536;0,098240844;0,121569708;0,103287437;0,177749936;;;
h2064;44589;52225;54931;49918;40086;;h2064;0,075495485;0,090212698;0,114292341;0,092259042;0,175858126;;;
h2065;42792;49042;51221;46366;38007;;h2065;0,077720303;0,079700544;0,10358658;0,082222456;0,176344661;;;
h2066;41845;46956;49084;44422;36972;;h2066;0,082095778;0,07298035;0,098069878;0,072830497;0,179519303;;;
h2067;42005;46012;48331;43079;37085;;h2067;0,080501326;0,070394432;0,093856334;0,065177301;0,186549736;;;
h2068;43799;46354;48968;43127;37794;;h2068;0,086230232;0,071831053;0,088759538;0,060645977;0,195806067;;;
h2069;47550;47107;50859;43417;38202;;h2069;0,093998554;0,069883634;0,085096216;0,051886295;0,209623665;;;
h2070;55012;49413;54700;43720;37517;;h2070;0,098744832;0,06771274;0,083170439;0,041045366;0,229595933;;;
h2071;59500;53179;61047;43551;38174;;h2071;0,113539871;0,06927706;0,092495258;0,04117709;0,257145985;;;
h2072;61267;58101;65997;46780;41163;;h2072;0,157201921;0,091656424;0,126623518;0,070419938;0,306723916;;;
h2073;62198;60916;68563;50399;44441;;h2073;0,225058865;0,135281817;0,173783357;0,120751884;0,356131559;;;
h2074;63737;62279;68801;53559;46306;;h2074;0,304484862;0,183105336;0,225634566;0,188036777;0,413749483;;;
h2075;65024;63449;69679;54742;49557;;h2075;0,370042828;0,23024247;0,266655083;0,253806839;0,471075486;;;
h2076;64387;64397;70355;55123;49474;;h2076;0,425069989;0,263699778;0,290256722;0,293245166;0,470224049;;;
h2077;63460;63957;69364;54145;47777;;h2077;0,457886052;0,25766597;0,292110102;0,312661363;0,458693167;;;
h2078;62048;63022;68134;53400;47760;;h2078;0,474794668;0,227273453;0,275342803;0,318127931;0,44801372;;;
h2079;59895;61673;66397;52091;47639;;h2079;0,471513062;0,194167318;0,244240766;0,297368144;0,424015375;;;
h2080;57764;59998;65152;52207;46415;;h2080;0,43137364;0,156910945;0,203640155;0,262263554;0,388279368;;;
h2081;56466;58531;63888;51535;47281;;h2081;0,358232753;0,120835794;0,149356385;0,212985405;0,346267059;;;
h2082;56317;58342;64018;52369;48537;;h2082;0,271019894;0,087155011;0,097896124;0,17237473;0,282141728;;;
h2083;56677;59218;65373;55117;49358;;h2083;0,222611565;0,065733395;0,063840262;0,175430739;0,237295351;;;
h2084;57657;60573;68196;56997;49732;;h2084;0,229693902;0,055645123;0,062725338;0,199747089;0,222796604;;;
