;d;renewable
h290;48109;0.062578278
h291;47550;0.061944686
h292;47932;0.073673508
h293;49714;0.082617472
h294;53790;0.089498578
h295;63454;0.102170422
h296;71474;0.119395288
h297;74199;0.132258682
h298;74146;0.155185878
h299;74516;0.172160255
h300;75674;0.180662177
h301;75048;0.172764377
h302;74543;0.145961955
h303;73556;0.106369812
h304;72916;0.075367999
h305;73101;0.05506358
h306;76150;0.053531171
h307;75617;0.058747256
h308;73484;0.057494806
h309;68985;0.051247292
h310;65437;0.045412351
h311;62550;0.042097043
h312;57323;0.036011611
h313;53529;0.031735742
h314;51384;0.029275264
h315;50377;0.029024796
h316;50759;0.026726386
h317;52330;0.026549585
h318;55898;0.026328584
h319;64504;0.025326713
h320;72210;0.022217966
h321;74468;0.022173766
h322;73920;0.032207211
h323;74514;0.049754689
h324;75136;0.058462128
h325;74529;0.058182193
h326;73925;0.051080695
h327;72974;0.038851974
h328;72638;0.024280642
h329;73057;0.016972876
h330;76269;0.02089196
h331;75786;0.024295375
h332;73818;0.022424233
h333;69463;0.021481296
h334;65780;0.021009827
h335;62542;0.02084776
h336;57374;0.022129566
h337;53620;0.022629167
h338;51461;0.022334517
h339;50471;0.021067519
h340;51005;0.022187192
h341;52548;0.022540772
h342;55780;0.02246711
h343;64175;0.023704642
h344;71520;0.025575674
h345;73453;0.034871901
h346;72891;0.057559998
h347;73259;0.093905152
h348;74209;0.134007101
h349;73777;0.139811718
h350;73406;0.126022069
h351;72616;0.110272994
h352;72212;0.08365131
h353;72789;0.067858037
h354;76248;0.072189401
h355;75873;0.078377064
h356;73765;0.088513046
h357;69375;0.09185733
h358;65900;0.095894044
h359;63101;0.093787292
h360;58148;0.09534894
h361;54402;0.096162628
h362;52011;0.09638359
h363;50948;0.102909332
h364;51570;0.107623186
h365;52996;0.103115563
h366;56609;0.098298593
h367;64871;0.100552405
h368;72272;0.096913899
h369;74484;0.096634013
h370;74033;0.109214112
h371;74808;0.124445754
h372;75575;0.13197319
h373;75128;0.12918907
h374;74650;0.123002136
h375;73836;0.119437284
h376;73251;0.122781174
h377;73732;0.122751712
h378;76595;0.120763055
h379;76000;0.120144362
h380;73996;0.130838919
h381;69650;0.138204316
h382;66054;0.136466082
h383;63050;0.122589674
h384;57945;0.110333653
h385;53740;0.100807164
h386;51509;0.090378837
h387;50567;0.085473988
h388;50948;0.088066341
h389;52506;0.093737112
h390;55818;0.099393154
h391;63869;0.091925411
h392;71561;0.087992694
h393;74262;0.08970129
h394;74105;0.098376834
h395;74590;0.112237082
h396;74892;0.12164909
h397;73546;0.121487068
h398;72020;0.114181347
h399;70613;0.09500383
h400;69584;0.073661109
h401;69875;0.057075944
h402;73841;0.06164202
h403;74030;0.074323926
h404;71632;0.080686973
h405;66996;0.081938962
h406;63402;0.076931008
h407;61118;0.07037648
h408;57086;0.06469098
h409;53267;0.060507865
h410;50884;0.059079126
h411;49480;0.053923879
h412;49303;0.054056443
h413;49315;0.052509869
h414;49468;0.050344665
h415;50195;0.057267425
h416;53637;0.0618335
h417;57629;0.072482767
h418;60502;0.102339009
h419;62306;0.13038355
h420;63074;0.150076592
h421;62104;0.160799505
h422;59922;0.15683733
h423;58102;0.139515701
h424;57859;0.119793201
h425;58984;0.119395511
h426;64058;0.135420963
h427;64773;0.149664173
h428;62341;0.158442821
h429;58158;0.172420904
h430;55886;0.185633064
h431;55160;0.189064986
h432;51876;0.191068167
h433;48439;0.196853873
h434;46199;0.203349388
h435;45022;0.208975889
h436;44532;0.215898546
h437;44629;0.21614894
h438;44003;0.211730223
h439;43468;0.218844358
h440;45593;0.225958494
h441;48991;0.238905336
h442;52750;0.252132031
h443;55647;0.266846361
h444;58332;0.27765749
h445;57944;0.268333996
h446;55640;0.254856907
h447;54005;0.229169428
h448;53443;0.205013772
h449;54764;0.182404666
h450;59544;0.173567231
h451;61276;0.158602507
h452;59801;0.148365811
h453;57093;0.13444685
h454;55609;0.126360597
h455;55723;0.115299074
h456;52365;0.106667845
h457;49441;0.097469734
h458;47803;0.087543079
h459;47070;0.082903767
h460;47504;0.080031812
h461;49346;0.07430263
h462;53325;0.073551504
h463;62675;0.07009043
h464;70501;0.062402427
h465;73016;0.059456832
h466;74102;0.063094642
h467;75155;0.071990338
h468;76176;0.070664821
h469;76041;0.065996053
h470;75876;0.058779345
h471;75157;0.052902884
h472;74542;0.045524169
h473;74299;0.03998645
h474;76565;0.036275001
h475;75961;0.033741789
h476;73878;0.028012607
