;d;renewable
h2276;55036;0.010076768
h2277;52569;0.011941766
h2278;50218;0.015527187
h2279;46604;0.01529587
h2280;42921;0.015845249
h2281;40636;0.016972921
h2282;39480;0.019416212
h2283;39131;0.023897989
h2284;39644;0.031647125
h2285;39952;0.035247004
h2286;40207;0.038398705
h2287;41872;0.044456332
h2288;45729;0.066677269
h2289;49254;0.101823071
h2290;51359;0.155026096
h2291;53642;0.203226879
h2292;52962;0.251312004
h2293;50671;0.27152337
h2294;49047;0.264005552
h2295;47910;0.240873802
h2296;47671;0.202619671
h2297;48849;0.144949327
h2298;50740;0.087062123
h2299;52264;0.053058451
h2300;54076;0.043285287
h2301;52628;0.053709032
h2302;51132;0.06286053
h2303;47071;0.068397693
h2304;43959;0.070471399
h2305;42303;0.071020715
h2306;41694;0.071743499
h2307;42178;0.070514766
h2308;44156;0.068274137
h2309;49242;0.069271579
h2310;59119;0.067334519
h2311;64829;0.0760802
h2312;67690;0.109024676
h2313;68847;0.160168842
h2314;70022;0.22339795
h2315;71117;0.284314151
h2316;70463;0.323330009
h2317;69797;0.322216922
h2318;68633;0.292510517
h2319;67269;0.246686037
h2320;65439;0.192549547
h2321;64500;0.124911459
h2322;64178;0.065672116
h2323;64774;0.04077945
h2324;65517;0.059138153
h2325;62591;0.088801191
h2326;57920;0.111857987
h2327;52577;0.120516935
h2328;49104;0.12657002
h2329;47008;0.136167199
h2330;45802;0.140026306
h2331;45963;0.142888115
h2332;47698;0.15791984
h2333;52043;0.170321014
h2334;61017;0.188821599
h2335;66709;0.1993149
h2336;69691;0.23122841
h2337;70501;0.288334514
h2338;72063;0.358896903
h2339;72915;0.402618989
h2340;71957;0.429054591
h2341;71504;0.439995953
h2342;70039;0.447208291
h2343;68810;0.424111466
h2344;67273;0.39588362
h2345;66930;0.351554483
h2346;66983;0.310809834
h2347;66775;0.268287395
h2348;66606;0.243485048
h2349;63438;0.225880585
h2350;59314;0.2174686
h2351;54001;0.215213841
h2352;50211;0.208256867
h2353;48348;0.205728075
h2354;47491;0.201031747
h2355;48139;0.191248934
h2356;49924;0.192404954
h2357;54134;0.190092915
h2358;62044;0.188777943
h2359;67091;0.201985463
h2360;69367;0.244772625
h2361;70165;0.32732685
h2362;71235;0.407381183
h2363;72222;0.450370649
h2364;71310;0.466367065
h2365;70457;0.456902157
h2366;69305;0.444763955
h2367;68283;0.410531335
h2368;66470;0.367079462
h2369;66377;0.315983411
h2370;66161;0.256722974
h2371;66163;0.197057931
h2372;66137;0.168027398
h2373;63496;0.159891912
h2374;59323;0.144227851
h2375;54063;0.13693048
h2376;50163;0.134310028
h2377;47953;0.12483204
h2378;46760;0.111048502
h2379;47206;0.102206233
h2380;48773;0.092439282
h2381;53055;0.079927181
h2382;61365;0.068643174
h2383;66907;0.069495615
h2384;69763;0.085200757
h2385;70114;0.10872235
h2386;71188;0.136231633
h2387;72071;0.159738777
h2388;70977;0.170054758
h2389;69984;0.170257033
h2390;68715;0.160909078
h2391;67698;0.139612501
h2392;66355;0.106959675
h2393;65976;0.070521434
h2394;65733;0.035166804
h2395;65718;0.010836115
h2396;65432;0.003510901
h2397;62686;0.004811235
h2398;58329;0.006227154
h2399;53214;0.010128155
h2400;49611;0.012508667
h2401;47515;0.014704183
h2402;46376;0.015671944
h2403;46858;0.015859718
h2404;48569;0.018300786
h2405;52934;0.01866189
h2406;60701;0.019196325
h2407;66274;0.033293853
h2408;68935;0.067598798
h2409;69638;0.118890109
h2410;70606;0.167957014
h2411;71386;0.203793044
h2412;70512;0.222758262
h2413;68690;0.222108274
h2414;66871;0.210928472
h2415;65434;0.185420037
h2416;64025;0.147518489
h2417;63648;0.103665935
h2418;63463;0.058354518
h2419;63099;0.027602843
h2420;63013;0.017636353
h2421;60559;0.017087474
h2422;56761;0.01510862
h2423;52346;0.013721978
h2424;48296;0.011165196
h2425;45778;0.008478616
h2426;44549;0.005907587
h2427;44681;0.005012061
h2428;45070;0.003639883
h2429;45911;0.002643248
h2430;47050;0.004087646
h2431;50252;0.023471466
h2432;54514;0.063914607
h2433;57532;0.12512819
h2434;59215;0.19388153
h2435;59549;0.252986293
h2436;58307;0.292057256
h2437;56065;0.302399145
h2438;54305;0.285413026
h2439;52986;0.250097497
h2440;52375;0.201565727
h2441;52642;0.139846605
h2442;53568;0.081478486
h2443;53729;0.042017535
h2444;54146;0.044516343
h2445;52135;0.040587581
h2446;49692;0.04272529
h2447;46107;0.04958618
h2448;42519;0.066846735
h2449;40297;0.075354239
h2450;39115;0.079846316
h2451;38812;0.078315254
h2452;39038;0.083052879
h2453;39575;0.081377378
h2454;39756;0.085970563
h2455;41602;0.108922046
h2456;45640;0.15852267
h2457;48993;0.248638655
h2458;51365;0.328196091
h2459;53914;0.395013938
h2460;53172;0.425057415
h2461;50913;0.44075802
h2462;49104;0.449987723
h2463;48157;0.425938498
h2464;47585;0.376568977
h2465;48827;0.30593792
h2466;50324;0.230627013
h2467;50942;0.165759103
h2468;52292;0.139384398
h2469;52287;0.12788699
h2470;51603;0.1237849
h2471;48056;0.12803143
h2472;44821;0.131336905
h2473;43221;0.146930996
h2474;42689;0.165528394
h2475;43360;0.187937681
h2476;45601;0.208441024
h2477;50213;0.235730684
h2478;58347;0.263828927
h2479;64806;0.292259266
h2480;68700;0.342795674
h2481;70228;0.404580042
h2482;71536;0.455982789
h2483;72828;0.497668106
h2484;72057;0.528235413
h2485;70785;0.530170235
h2486;69695;0.542833215
h2487;68530;0.52490001
h2488;66891;0.490881788
h2489;66426;0.446149848
h2490;66018;0.370879478
h2491;65966;0.312430512
h2492;65622;0.277444879
h2493;63536;0.25815441
h2494;59592;0.244177484
h2495;54896;0.235355271
h2496;51167;0.224249423
h2497;48938;0.211374134
h2498;48254;0.204027136
h2499;48702;0.191325058
h2500;50194;0.189578522
h2501;53765;0.18345843
h2502;60289;0.17341224
h2503;65715;0.177006351
h2504;69092;0.219385104
h2505;70315;0.280528291
h2506;72034;0.32068418
h2507;73128;0.336908199
h2508;72159;0.345943995
h2509;71061;0.342176674
h2510;69856;0.327121824
h2511;68959;0.306019053
h2512;67337;0.271983256
h2513;66742;0.220424365
h2514;66234;0.160060624
h2515;65799;0.101371247
h2516;65523;0.07033776
h2517;63663;0.059454388
h2518;59935;0.052886836
h2519;55061;0.046449192
h2520;51324;0.039345871
h2521;49366;0.032446632
h2522;48566;0.028838243
h2523;49307;0.02492675
h2524;51000;0.020798753
h2525;54603;0.017551203
h2526;60396;0.016872826
h2527;65871;0.040226318
h2528;68938;0.097902804
h2529;69707;0.171254132
h2530;70792;0.230648211
h2531;71703;0.261651487
h2532;70656;0.280747081
h2533;69705;0.28220487
h2534;68109;0.270845662
h2535;66846;0.241747615
h2536;64947;0.19694586
h2537;64286;0.140857065
h2538;64093;0.076555576
h2539;64197;0.025633994
h2540;64543;0.010175656
h2541;63483;0.016714057
h2542;59772;0.025706162
h2543;54698;0.035607581
h2544;51189;0.047019275
h2545;49174;0.06058114
h2546;48155;0.074157433
h2547;48680;0.083751731
h2548;50397;0.093028624
h2549;54123;0.094644506
h2550;59901;0.103301016
h2551;65321;0.136022622
h2552;68185;0.194381925
h2553;68937;0.274209372
h2554;70194;0.369373269
h2555;71137;0.43296976
h2556;70277;0.469211681
h2557;68925;0.48187904
h2558;67192;0.4757762
h2559;65487;0.432710065
h2560;63760;0.368276777
h2561;62940;0.273545706
h2562;62568;0.18947657
h2563;62307;0.133425669
h2564;62227;0.126009926
h2565;59996;0.131997345
h2566;56381;0.141057825
h2567;51705;0.143943329
h2568;47867;0.142657222
h2569;45342;0.138170329
h2570;43822;0.12621009
h2571;43148;0.114899081
h2572;43206;0.105665604
h2573;42905;0.103342807
h2574;41724;0.105232785
h2575;43364;0.105983005
h2576;46834;0.130884538
h2577;50205;0.161470431
h2578;52646;0.196110398
h2579;55216;0.21469277
h2580;54827;0.23028869
h2581;52459;0.242436484
h2582;50751;0.238339128
h2583;49436;0.226739573
h2584;48713;0.195389032
h2585;49565;0.16458673
h2586;50540;0.119270555
h2587;50412;0.072958897
h2588;51059;0.044464963
h2589;50728;0.038520912
h2590;49214;0.03665979
h2591;45856;0.033875319
h2592;42651;0.028162105
h2593;40763;0.027484022
h2594;39858;0.031754505
h2595;39963;0.039877079
h2596;40660;0.043007805
h2597;41546;0.043527188
h2598;42208;0.050856261
h2599;45268;0.071674866
h2600;49537;0.10542034
h2601;52628;0.15333343
h2602;54233;0.213379885
h2603;55016;0.279803212
h2604;54414;0.335478193
h2605;53069;0.367752081
h2606;51677;0.379236218
h2607;50747;0.365876531
h2608;49790;0.328755068
h2609;50422;0.26807381
h2610;51177;0.212067
h2611;50844;0.169290032
h2612;50552;0.157070102
h2613;50013;0.164110629
h2614;48339;0.162624616
h2615;44730;0.160792348
h2616;40958;0.148658982
h2617;38466;0.142512949
h2618;37139;0.130956675
h2619;36577;0.123180356
h2620;37096;0.118361635
h2621;37420;0.114913508
h2622;36932;0.116183111
h2623;39290;0.138069338
h2624;43332;0.177369325
h2625;46234;0.247716879
h2626;48212;0.313765095
h2627;49925;0.357624111
h2628;48423;0.409923102
h2629;46003;0.444793906
h2630;44097;0.432386421
h2631;42672;0.396231587
h2632;42134;0.367925209
h2633;43057;0.306464877
h2634;44285;0.216351911
h2635;44619;0.138458875
h2636;45816;0.104222873
h2637;46571;0.099101179
h2638;45249;0.105694458
h2639;41947;0.09523466
h2640;38663;0.08682354
h2641;36845;0.076796561
h2642;35738;0.070722664
h2643;35609;0.067678502
h2644;36357;0.066322335
h2645;37237;0.064158239
h2646;36823;0.063451301
h2647;38590;0.085828055
h2648;42320;0.130220882
h2649;45749;0.183991459
h2650;48020;0.239954987
h2651;50270;0.28592039
h2652;49970;0.313043729
h2653;47854;0.326648681
h2654;46612;0.314443178
h2655;45538;0.279586802
h2656;44865;0.224402349
h2657;46153;0.188449497
h2658;47787;0.133063062
h2659;48565;0.089853274
h2660;49515;0.070434118
h2661;49767;0.064879604
h2662;48606;0.06538456
h2663;45069;0.060003174
h2664;41679;0.058882077
h2665;40402;0.056487559
h2666;39559;0.05178507
h2667;40182;0.049044356
h2668;42224;0.047371078
h2669;47052;0.041312658
h2670;54723;0.042812838
h2671;61526;0.063512441
h2672;65513;0.10020916
h2673;67273;0.152513523
h2674;68830;0.201961774
h2675;70099;0.240057699
h2676;69732;0.255319149
h2677;68843;0.247428777
h2678;67614;0.232600072
h2679;66243;0.210097367
h2680;64218;0.176992427
h2681;63593;0.132765957
h2682;63446;0.08152903
h2683;63053;0.040634692
h2684;62542;0.021666066
h2685;61485;0.015275875
h2686;57335;0.012578435
h2687;52242;0.013328525
h2688;48648;0.01006663
h2689;46384;0.009201304
h2690;45473;0.008480198
h2691;45885;0.008134068
h2692;47552;0.010412761
h2693;51520;0.011508841
h2694;57922;0.016152759
h2695;63504;0.04724682
h2696;66879;0.10750238
h2697;67933;0.177579394
h2698;69230;0.243502841
h2699;70646;0.284418356
h2700;70091;0.295552222
h2701;69148;0.280524388
h2702;67978;0.257751882
h2703;66375;0.230580634
h2704;64578;0.195967579
h2705;64271;0.152585884
h2706;63825;0.099065448
h2707;63618;0.056650033
h2708;62976;0.041925063
h2709;61895;0.041593354
h2710;57944;0.042343304
h2711;52845;0.038708933
h2712;48850;0.038199201
h2713;46788;0.039439341
h2714;45830;0.034896967
h2715;45910;0.030830461
h2716;47497;0.025091208
h2717;51418;0.022654188
h2718;57869;0.025754539
h2719;63805;0.054926673
h2720;67045;0.104114093
h2721;68401;0.16235742
h2722;69849;0.212410054
h2723;71374;0.249397955
h2724;70495;0.267711653
h2725;69617;0.268562447
h2726;68140;0.263673987
h2727;66644;0.244624858
h2728;64928;0.209583688
h2729;64117;0.15619998
h2730;63732;0.099542879
h2731;63408;0.057882821
h2732;62715;0.05044198
h2733;61801;0.057306012
h2734;57704;0.065539966
h2735;52789;0.064516129
h2736;48898;0.061436646
h2737;46901;0.060643636
h2738;45704;0.061768268
h2739;45868;0.059172963
h2740;47480;0.059965973
h2741;51192;0.05884134
h2742;57362;0.06615145
h2743;63297;0.091008709
h2744;66774;0.134191707
h2745;68007;0.201958014
h2746;69607;0.275246554
h2747;70737;0.337793414
h2748;69787;0.383600554
h2749;67932;0.390189746
h2750;66272;0.368980333
h2751;64909;0.335572986
h2752;63454;0.282124113
h2753;62763;0.217400081
h2754;62102;0.146447315
h2755;61535;0.092205433
h2756;60667;0.09002826
h2757;59649;0.106941
h2758;56136;0.10940654
h2759;51801;0.103970817
h2760;47880;0.098360656
h2761;45517;0.08261603
h2762;44017;0.068053693
h2763;43700;0.057182404
h2764;43909;0.050506798
h2765;44674;0.042259613
h2766;46051;0.042576813
h2767;49630;0.061147397
h2768;53800;0.095606788
h2769;56778;0.142263939
h2770;58389;0.188070418
h2771;59191;0.226754329
h2772;57946;0.251250775
h2773;55943;0.259786323
h2774;54122;0.253153971
h2775;53171;0.230430959
h2776;52429;0.18727742
h2777;53207;0.134579062
h2778;53976;0.085009444
h2779;53569;0.051948614
h2780;52760;0.043081448
h2781;51769;0.04884871
h2782;49539;0.051905359
h2783;46040;0.050002163
h2784;42729;0.045805159
h2785;40547;0.04783806
h2786;39200;0.040384089
h2787;38518;0.04254675
h2788;38817;0.043411814
h2789;39212;0.043094624
h2790;39238;0.052120129
h2791;41294;0.064058017
h2792;45229;0.086131576
h2793;48447;0.122709382
h2794;51501;0.162228406
h2795;54275;0.197955565
h2796;53859;0.222364798
h2797;51448;0.233682723
h2798;49798;0.226445018
h2799;48721;0.206144841
h2800;48510;0.181548177
h2801;50056;0.150232846
h2802;51652;0.11385689
h2803;51779;0.071958938
h2804;51987;0.053994435
h2805;52146;0.047492034
h2806;51039;0.044147119
h2807;47281;0.037587047
h2808;44193;0.03247708
h2809;42793;0.028166984
h2810;42386;0.028339964
h2811;42829;0.029060716
h2812;44700;0.025543447
h2813;49332;0.022660439
h2814;57870;0.024073113
h2815;64429;0.031914894
h2816;68099;0.046661477
h2817;69042;0.071354437
h2818;70486;0.103903592
h2819;71661;0.13173903
h2820;70981;0.146182898
h2821;70339;0.150175863
h2822;68998;0.142175517
h2823;67840;0.130182206
h2824;65948;0.109078591
h2825;65493;0.086346076
h2826;65216;0.060543159
h2827;64850;0.037853889
h2828;63489;0.029291357
h2829;61872;0.032347345
h2830;57723;0.02878683
h2831;52588;0.025817333
h2832;48812;0.022620849
h2833;46781;0.019364599
h2834;45759;0.01610835
h2835;46232;0.013370795
h2836;47731;0.012304589
h2837;51674;0.010330668
h2838;59453;0.01459549
h2839;65649;0.034680499
h2840;68649;0.066018298
h2841;69363;0.107485052
h2842;70505;0.149873928
h2843;71530;0.180433686
h2844;70731;0.201541676
h2845;69970;0.205878539
h2846;68665;0.202276493
h2847;67720;0.185159571
h2848;65959;0.152193646
h2849;65294;0.111749874
h2850;64933;0.067948995
h2851;64735;0.031597147
h2852;63603;0.016785534
h2853;62445;0.01864419
h2854;58394;0.022332685
h2855;53119;0.017952597
h2856;49054;0.015322198
h2857;46976;0.01375401
h2858;45770;0.011883695
h2859;45964;0.007840937
h2860;47558;0.006100105
h2861;51383;0.006215201
h2862;58841;0.011912469
h2863;64920;0.038916944
h2864;67927;0.078380595
h2865;68461;0.126303826
h2866;69664;0.177737494
h2867;70108;0.217186758
h2868;69591;0.243169753
h2869;68868;0.245241486
h2870;67370;0.237443711
h2871;66080;0.217963658
h2872;64291;0.178715813
h2873;63542;0.125469377
h2874;62668;0.077776339
h2875;62017;0.036974693
h2876;60540;0.022659588
h2877;59203;0.02235746
h2878;55298;0.025493835
h2879;50534;0.027479247
h2880;47000;0.028455518
h2881;44462;0.028843941
h2882;42735;0.029318679
h2883;42029;0.028297272
h2884;41734;0.026786742
h2885;40627;0.024959719
h2886;39084;0.027721832
h2887;41157;0.04343135
h2888;44644;0.070721602
h2889;47787;0.102342042
h2890;49800;0.138997583
h2891;51697;0.168229946
h2892;51225;0.191017378
h2893;49307;0.204684083
h2894;47689;0.215674991
h2895;46937;0.206683738
h2896;46492;0.169898723
h2897;47394;0.129416504
h2898;48982;0.0925164
h2899;49330;0.06039245
h2900;49411;0.05330015
h2901;49633;0.055947175
h2902;47946;0.063255265
h2903;44148;0.063801933
h2904;40954;0.067494282
h2905;39142;0.068803314
h2906;38290;0.067652517
h2907;38401;0.066976423
h2908;39980;0.070658976
h2909;43790;0.070457586
h2910;50044;0.076053339
h2911;55537;0.096278608
h2912;59549;0.117611519
h2913;61739;0.147719263
h2914;63342;0.180373146
h2915;64549;0.203087015
h2916;64125;0.225772113
h2917;62790;0.242214135
h2918;61204;0.243393702
h2919;60293;0.230893163
h2920;59611;0.197203562
h2921;59630;0.156609175
h2922;59696;0.116877886
h2923;59254;0.078541939
h2924;57853;0.054979358
h2925;56526;0.048592431
h2926;53785;0.044449559
h2927;49394;0.041716415
h2928;45530;0.04444892
h2929;43269;0.047872493
h2930;42129;0.05018844
h2931;42400;0.050533675
h2932;43121;0.049181507
h2933;43688;0.052389309
h2934;44685;0.056632815
h2935;48137;0.065939757
h2936;52441;0.093745505
h2937;55493;0.143804482
h2938;57060;0.188440404
h2939;57932;0.213412354
h2940;56765;0.220000575
h2941;54683;0.214692598
h2942;53108;0.201803849
h2943;52237;0.183319428
h2944;51572;0.161425818
h2945;52393;0.128110705
h2946;53142;0.093198884
h2947;52717;0.061811329
h2948;51398;0.042650824
h2949;51292;0.040895883
h2950;49842;0.042852211
h2951;46345;0.048634886
h2952;42969;0.051382376
h2953;40546;0.048922581
h2954;38993;0.047512874
h2955;38976;0.049267816
h2956;39395;0.049109583
h2957;39410;0.049454817
h2958;38988;0.057567824
h2959;41108;0.087099744
h2960;44689;0.147558906
h2961;47803;0.220820507
h2962;50337;0.2522656
h2963;52678;0.26325556
h2964;52101;0.279553497
h2965;50138;0.295117811
h2966;48287;0.294125263
h2967;47091;0.273137892
h2968;46888;0.231206306
h2969;48100;0.170516988
h2970;50112;0.103109986
h2971;50618;0.044563998
h2972;50556;0.016902097
h2973;51528;0.013823758
h2974;50678;0.013579217
h2975;46936;0.012946287
h2976;43946;0.012872882
h2977;42357;0.012383856
h2978;41774;0.011420188
h2979;42399;0.010485286
h2980;44417;0.010240773
h2981;48728;0.011190058
h2982;56911;0.022969824
h2983;63411;0.059675517
h2984;66783;0.11960993
h2985;67651;0.192791186
h2986;69002;0.258176797
h2987;70118;0.29187642
h2988;69600;0.316111958
h2989;68829;0.32431033
h2990;67458;0.310761442
h2991;66033;0.276126917
h2992;64058;0.226620257
h2993;63349;0.166700227
h2994;63018;0.100523545
h2995;62787;0.044501338
h2996;61519;0.02281161
h2997;61271;0.039222737
h2998;57320;0.060653568
h2999;52198;0.07657567
h3000;48448;0.085953004
h3001;46620;0.087491731
h3002;45619;0.087549254
h3003;46138;0.087448589
h3004;47715;0.086758319
h3005;51263;0.093157698
h3006;58290;0.112068222
h3007;64182;0.143777503
h3008;67163;0.187350801
h3009;67928;0.245290345
h3010;68986;0.291135782
h3011;70500;0.315065144
h3012;70166;0.323132676
h3013;69741;0.313152521
h3014;68516;0.286591504
h3015;67236;0.25436452
h3016;65434;0.208461561
h3017;65089;0.17378987
h3018;64769;0.122868072
h3019;64449;0.079582387
h3020;62462;0.06221059
h3021;61423;0.064942909
h3022;57282;0.066524778
h3023;52185;0.070752682
h3024;48401;0.074186451
h3025;46377;0.077220632
h3026;45480;0.081074474
h3027;45815;0.092147079
h3028;47332;0.101033922
h3029;51097;0.117024489
h3030;59166;0.120792051
h3031;65363;0.137530378
h3032;68719;0.16683683
h3033;69702;0.207647287
h3034;70800;0.240778821
h3035;72029;0.286938641
h3036;71144;0.318704074
h3037;70267;0.325362017
h3038;68709;0.324671776
h3039;67510;0.315137832
h3040;66155;0.279288477
h3041;65556;0.207618527
h3042;65043;0.151665924
h3043;64325;0.09427532
h3044;62488;0.059605125
h3045;61748;0.057390604
h3046;57814;0.063962267
h3047;52603;0.066061748
h3048;48724;0.072204813
h3049;46833;0.08624903
h3050;46059;0.097231406
h3051;46492;0.096052669
h3052;48187;0.100077624
h3053;51510;0.104246327
h3054;58855;0.126987321
h3055;65214;0.153077653
h3056;68266;0.204625823
h3057;69016;0.266322629
h3058;70345;0.30714717
h3059;71868;0.316131444
h3060;70869;0.332145013
h3061;70032;0.347181094
h3062;68928;0.348216083
h3063;68061;0.323189489
h3064;66825;0.284650548
h3065;66200;0.227179944
h3066;65820;0.160006325
h3067;65422;0.103369462
h3068;63677;0.084969669
h3069;62178;0.08354656
h3070;58153;0.080542219
h3071;53067;0.088232757
h3072;49259;0.098505532
h3073;47330;0.106955022
h3074;46306;0.116137376
h3075;46708;0.121425492
h3076;48215;0.127173444
h3077;51873;0.132418451
h3078;59577;0.142736025
h3079;65846;0.164880011
h3080;68936;0.20961345
h3081;69480;0.252809312
h3082;70321;0.298232505
h3083;71332;0.36028165
h3084;70483;0.406365857
h3085;69100;0.437217991
h3086;67603;0.440221296
h3087;66183;0.419916655
h3088;65128;0.381319155
h3089;64650;0.330794654
h3090;64147;0.266000862
h3091;63050;0.193461704
h3092;60607;0.168975428
h3093;59446;0.160339129
h3094;56353;0.154921684
h3095;51854;0.149662308
h3096;47831;0.15063946
h3097;45350;0.15903147
h3098;44181;0.16018106
h3099;44023;0.155683288
h3100;44514;0.149274321
h3101;44500;0.136944963
h3102;45541;0.135005029
h3103;49104;0.151199885
h3104;53615;0.198203765
h3105;56551;0.243483259
h3106;58409;0.286492312
h3107;59358;0.30482828
h3108;58303;0.30237103
h3109;56231;0.3096853
h3110;54681;0.304526512
h3111;53915;0.276045409
h3112;53454;0.243569478
h3113;53966;0.197355942
h3114;54681;0.157235235
h3115;54158;0.142477367
h3116;52468;0.14338267
h3117;51435;0.146544044
h3118;49538;0.148929444
h3119;45823;0.159448197
h3120;42640;0.168386262
h3121;40300;0.181103607
h3122;38984;0.182123868
h3123;38453;0.190717057
h3124;38940;0.210202615
h3125;38895;0.219931025
h3126;38987;0.245495042
h3127;41637;0.276002299
h3128;45698;0.342434258
h3129;48963;0.402672798
h3130;51150;0.445164535
h3131;53938;0.485658859
h3132;53383;0.512458687
h3133;51511;0.525894525
h3134;49784;0.476404656
h3135;48544;0.458887771
h3136;47597;0.419399339
h3137;48769;0.352306366
h3138;50226;0.259908033
h3139;50498;0.205331226
h3140;50248;0.155913206
h3141;51353;0.148886334
h3142;51082;0.15295301
h3143;47222;0.161086363
h3144;44130;0.164564237
h3145;42331;0.163127496
h3146;41877;0.17118761
h3147;42571;0.177523634
h3148;44826;0.183184391
h3149;48625;0.178902905
h3150;57255;0.189908336
h3151;64140;0.227996322
h3152;67795;0.281184449
h3153;69048;0.322030976
h3154;70529;0.356096089
h3155;71751;0.377934542
h3156;71022;0.379586793
h3157;70232;0.385592368
h3158;69235;0.373480647
h3159;68607;0.341225827
h3160;66428;0.292606534
h3161;65709;0.237823626
h3162;65154;0.178285107
h3163;64515;0.124536651
h3164;62461;0.085399845
h3165;61426;0.076061033
h3166;57929;0.074322577
h3167;52691;0.07685124
h3168;49017;0.073655327
h3169;47130;0.070595334
h3170;46029;0.069259281
h3171;46505;0.06413056
h3172;48125;0.054275371
h3173;51629;0.052163544
h3174;59164;0.055525227
h3175;65432;0.077160671
h3176;68359;0.113262843
h3177;69171;0.165656246
h3178;70402;0.211742903
h3179;71562;0.251752672
h3180;70937;0.277037122
h3181;70460;0.298169751
h3182;69433;0.306444662
h3183;68427;0.298543271
h3184;66626;0.276663602
h3185;66019;0.239943685
h3186;65366;0.195451672
h3187;64571;0.136823354
h3188;62485;0.098925411
h3189;61768;0.082835306
h3190;58531;0.084990231
h3191;53380;0.086599241
h3192;49629;0.092267034
h3193;47526;0.100626221
h3194;46411;0.105394691
h3195;46987;0.110191888
h3196;48840;0.114256578
h3197;52332;0.108540159
h3198;59716;0.115893945
h3199;65603;0.134034241
h3200;68372;0.195406756
h3201;69214;0.266976905
h3202;70663;0.312607721
h3203;72038;0.340687119
h3204;71259;0.347724922
h3205;70377;0.344076755
h3206;69205;0.338863036
h3207;67961;0.326539699
h3208;66273;0.292600253
h3209;65826;0.237805929
h3210;65410;0.173287947
h3211;64500;0.116425371
h3212;62532;0.073968746
h3213;61609;0.056905665
h3214;58563;0.051332874
h3215;53291;0.050068942
h3216;49513;0.049658936
h3217;47405;0.051611977
h3218;46465;0.048036189
h3219;46973;0.044029583
h3220;48562;0.038529475
h3221;51821;0.035470668
h3222;59324;0.044087025
h3223;65514;0.063904646
h3224;68077;0.10095498
h3225;68872;0.14854599
h3226;70441;0.181173261
h3227;71646;0.191254398
h3228;70386;0.206361743
h3229;69871;0.220090472
h3230;68720;0.227026639
h3231;67498;0.226050118
h3232;65881;0.208745602
h3233;65457;0.173217491
h3234;65136;0.133481726
h3235;64542;0.091031809
h3236;62522;0.062698356
h3237;61616;0.061061248
h3238;58610;0.063904646
h3239;53461;0.065800244
h3240;49518;0.063001622
h3241;47331;0.057603124
h3242;46162;0.052893796
h3243;46706;0.052204626
h3244;48484;0.056138638
h3245;51685;0.057804132
h3246;58929;0.067509943
h3247;64971;0.08995104
h3248;68044;0.141581358
h3249;68698;0.210943445
h3250;69732;0.273227182
h3251;70572;0.319961521
h3252;69645;0.347126305
h3253;68052;0.351950495
h3254;66341;0.3393875
h3255;64869;0.312581659
h3256;63326;0.273356401
h3257;62655;0.214762595
h3258;62304;0.153613117
h3259;61674;0.09822108
h3260;59336;0.060919755
h3261;58444;0.053898836
h3262;56091;0.055492541
h3263;51461;0.055463826
h3264;47553;0.050969131
h3265;45134;0.045312276
h3266;43822;0.036640345
h3267;43742;0.031543431
h3268;44142;0.028169419
h3269;44319;0.025757358
h3270;45843;0.030882986
h3271;49558;0.049892319
h3272;53817;0.088427854
h3273;57098;0.138650395
h3274;58758;0.188226849
h3275;59408;0.228126346
h3276;57853;0.260315865
h3277;55703;0.279325197
h3278;53546;0.285814788
h3279;52549;0.269346734
h3280;51743;0.232663317
h3281;52450;0.193854989
h3282;52954;0.152089017
h3283;52376;0.105168701
h3284;50372;0.068772434
h3285;49915;0.056654702
h3286;49110;0.052404882
h3287;45636;0.046604451
h3288;42019;0.041579325
h3289;39766;0.037229002
h3290;38599;0.03672649
h3291;38250;0.04103374
h3292;38664;0.040890165
h3293;38235;0.039038047
h3294;38265;0.047738693
h3295;40854;0.076482412
h3296;45031;0.119741565
h3297;48461;0.169073941
h3298;50870;0.203531945
h3299;53206;0.222742283
h3300;52530;0.223316583
h3301;50123;0.216999282
h3302;48520;0.210136396
h3303;47811;0.192878679
h3304;47469;0.164881551
h3305;48712;0.124895908
h3306;49933;0.085384063
h3307;50350;0.046690596
h3308;49688;0.02269921
h3309;50286;0.017343862
h3310;50200;0.01724336
h3311;46396;0.017142857
h3312;43236;0.017917133
h3313;41744;0.016050765
h3314;41112;0.013839837
h3315;41592;0.014241824
h3316;43518;0.013452207
h3317;47438;0.014155684
h3318;56279;0.025885089
h3319;63071;0.05863267
h3320;66683;0.11324547
h3321;67820;0.178008442
h3322;69276;0.23837827
h3323;70473;0.282151779
h3324;70026;0.301361013
h3325;69437;0.300068912
h3326;68148;0.283731013
h3327;66900;0.252232463
h3328;65075;0.209119361
h3329;64327;0.158425934
h3330;63595;0.100324461
h3331;62972;0.052732076
h3332;60775;0.026143509
h3333;59834;0.028971775
h3334;57072;0.041318517
h3335;51774;0.048783989
h3336;48168;0.052338434
h3337;46201;0.045605926
h3338;45178;0.042318624
h3339;45383;0.039978755
h3340;46706;0.03285866
h3341;50002;0.031624128
h3342;58123;0.046022222
h3343;64558;0.086331142
h3344;67967;0.149392782
h3345;68766;0.219344836
h3346;70007;0.281128879
h3347;71500;0.323619764
h3348;70651;0.344621171
h3349;69977;0.344535041
h3350;68933;0.323404439
h3351;67654;0.290660618
