left,top,right,bottom,id,X,Y,CTR_N,CTR,CST_N,GRED_CST
8.5948387388,52.2847458940,9.0948387388,52.7847458940,109,8.5948387388,52.2847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
8.5948387388,51.7847458940,9.0948387388,52.2847458940,110,8.5948387388,51.7847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
8.5948387388,51.2847458940,9.0948387388,51.7847458940,111,8.5948387388,51.2847458940,Germany,276.00,Hessen,27600907.00
8.5948387388,50.7847458940,9.0948387388,51.2847458940,112,8.5948387388,50.7847458940,Germany,276.00,Hessen,27600907.00
8.5948387388,50.2847458940,9.0948387388,50.7847458940,113,8.5948387388,50.2847458940,Germany,276.00,Hessen,27600907.00
8.5948387388,49.7847458940,9.0948387388,50.2847458940,114,8.5948387388,49.7847458940,Germany,276.00,Hessen,27600907.00
8.5948387388,49.2847458940,9.0948387388,49.7847458940,115,8.5948387388,49.2847458940,Germany,276.00,Baden-Württemberg,27600901.00
8.5948387388,48.7847458940,9.0948387388,49.2847458940,116,8.5948387388,48.7847458940,Germany,276.00,Baden-Württemberg,27600901.00
8.5948387388,48.2847458940,9.0948387388,48.7847458940,117,8.5948387388,48.2847458940,Germany,276.00,Baden-Württemberg,27600901.00
9.0948387388,54.7847458940,9.5948387388,55.2847458940,121,9.0948387388,54.7847458940,Germany,276.00,Schleswig-Holstein,27600915.00
9.0948387388,54.2847458940,9.5948387388,54.7847458940,122,9.0948387388,54.2847458940,Germany,276.00,Schleswig-Holstein,27600915.00
9.0948387388,53.7847458940,9.5948387388,54.2847458940,123,9.0948387388,53.7847458940,Germany,276.00,Niedersachsen,27600909.00
9.0948387388,53.2847458940,9.5948387388,53.7847458940,124,9.0948387388,53.2847458940,Germany,276.00,Niedersachsen,27600909.00
9.0948387388,52.7847458940,9.5948387388,53.2847458940,125,9.0948387388,52.7847458940,Germany,276.00,Niedersachsen,27600909.00
9.0948387388,52.2847458940,9.5948387388,52.7847458940,126,9.0948387388,52.2847458940,Germany,276.00,Niedersachsen,27600909.00
9.0948387388,51.7847458940,9.5948387388,52.2847458940,127,9.0948387388,51.7847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
9.0948387388,51.2847458940,9.5948387388,51.7847458940,128,9.0948387388,51.2847458940,Germany,276.00,Hessen,27600907.00
9.0948387388,50.7847458940,9.5948387388,51.2847458940,129,9.0948387388,50.7847458940,Germany,276.00,Hessen,27600907.00
9.0948387388,50.2847458940,9.5948387388,50.7847458940,130,9.0948387388,50.2847458940,Germany,276.00,Hessen,27600907.00
9.0948387388,49.7847458940,9.5948387388,50.2847458940,131,9.0948387388,49.7847458940,Germany,276.00,Hessen,27600907.00
9.0948387388,49.2847458940,9.5948387388,49.7847458940,132,9.0948387388,49.2847458940,Germany,276.00,Baden-Württemberg,27600901.00
9.0948387388,48.7847458940,9.5948387388,49.2847458940,133,9.0948387388,48.7847458940,Germany,276.00,Baden-Württemberg,27600901.00
9.0948387388,48.2847458940,9.5948387388,48.7847458940,134,9.0948387388,48.2847458940,Germany,276.00,Baden-Württemberg,27600901.00
9.5948387388,54.7847458940,10.0948387390,55.2847458940,138,9.5948387388,54.7847458940,Germany,276.00,Schleswig-Holstein,27600915.00
9.5948387388,54.2847458940,10.0948387390,54.7847458940,139,9.5948387388,54.2847458940,Germany,276.00,Schleswig-Holstein,27600915.00
9.5948387388,53.7847458940,10.0948387390,54.2847458940,140,9.5948387388,53.7847458940,Germany,276.00,Schleswig-Holstein,27600915.00
9.5948387388,53.2847458940,10.0948387390,53.7847458940,141,9.5948387388,53.2847458940,Germany,276.00,Niedersachsen,27600909.00
9.5948387388,52.7847458940,10.0948387390,53.2847458940,142,9.5948387388,52.7847458940,Germany,276.00,Niedersachsen,27600909.00
