left,top,right,bottom,id,X,Y
6.0126195250,51.7657844820,6.3626195250,51.9907844820,93,6.0126195250,51.7657844820
6.0126195250,51.0907844820,6.3626195250,51.3157844820,96,6.0126195250,51.0907844820
6.3626195250,51.7657844820,6.7126195250,51.9907844820,131,6.3626195250,51.7657844820
6.3626195250,51.5407844820,6.7126195250,51.7657844820,132,6.3626195250,51.5407844820
6.3626195250,51.3157844820,6.7126195250,51.5407844820,133,6.3626195250,51.3157844820
6.3626195250,51.0907844820,6.7126195250,51.3157844820,134,6.3626195250,51.0907844820
6.3626195250,50.8657844820,6.7126195250,51.0907844820,135,6.3626195250,50.8657844820
6.3626195250,50.6407844820,6.7126195250,50.8657844820,136,6.3626195250,50.6407844820
6.3626195250,50.1907844820,6.7126195250,50.4157844820,138,6.3626195250,50.1907844820
6.3626195250,49.9657844820,6.7126195250,50.1907844820,139,6.3626195250,49.9657844820
6.7126195250,53.5657844820,7.0626195250,53.7907844820,161,6.7126195250,53.5657844820
6.7126195250,51.7657844820,7.0626195250,51.9907844820,169,6.7126195250,51.7657844820
6.7126195250,51.5407844820,7.0626195250,51.7657844820,170,6.7126195250,51.5407844820
6.7126195250,51.3157844820,7.0626195250,51.5407844820,171,6.7126195250,51.3157844820
6.7126195250,51.0907844820,7.0626195250,51.3157844820,172,6.7126195250,51.0907844820
6.7126195250,50.8657844820,7.0626195250,51.0907844820,173,6.7126195250,50.8657844820
6.7126195250,50.6407844820,7.0626195250,50.8657844820,174,6.7126195250,50.6407844820
6.7126195250,50.4157844820,7.0626195250,50.6407844820,175,6.7126195250,50.4157844820
6.7126195250,50.1907844820,7.0626195250,50.4157844820,176,6.7126195250,50.1907844820
6.7126195250,49.9657844820,7.0626195250,50.1907844820,177,6.7126195250,49.9657844820
6.7126195250,49.7407844820,7.0626195250,49.9657844820,178,6.7126195250,49.7407844820
6.7126195250,49.5157844820,7.0626195250,49.7407844820,179,6.7126195250,49.5157844820
6.7126195250,49.2907844820,7.0626195250,49.5157844820,180,6.7126195250,49.2907844820
7.0626195250,53.3407844820,7.4126195250,53.5657844820,200,7.0626195250,53.3407844820
7.0626195250,52.6657844820,7.4126195250,52.8907844820,203,7.0626195250,52.6657844820
7.0626195250,52.4407844820,7.4126195250,52.6657844820,204,7.0626195250,52.4407844820
7.0626195250,52.2157844820,7.4126195250,52.4407844820,205,7.0626195250,52.2157844820
7.0626195250,51.9907844820,7.4126195250,52.2157844820,206,7.0626195250,51.9907844820
7.0626195250,51.7657844820,7.4126195250,51.9907844820,207,7.0626195250,51.7657844820
7.0626195250,51.5407844820,7.4126195250,51.7657844820,208,7.0626195250,51.5407844820
7.0626195250,51.3157844820,7.4126195250,51.5407844820,209,7.0626195250,51.3157844820
7.0626195250,51.0907844820,7.4126195250,51.3157844820,210,7.0626195250,51.0907844820
7.0626195250,50.8657844820,7.4126195250,51.0907844820,211,7.0626195250,50.8657844820
7.0626195250,50.6407844820,7.4126195250,50.8657844820,212,7.0626195250,50.6407844820
7.0626195250,50.4157844820,7.4126195250,50.6407844820,213,7.0626195250,50.4157844820
7.0626195250,50.1907844820,7.4126195250,50.4157844820,214,7.0626195250,50.1907844820
7.0626195250,49.9657844820,7.4126195250,50.1907844820,215,7.0626195250,49.9657844820
7.0626195250,49.7407844820,7.4126195250,49.9657844820,216,7.0626195250,49.7407844820
7.0626195250,49.5157844820,7.4126195250,49.7407844820,217,7.0626195250,49.5157844820
7.0626195250,49.2907844820,7.4126195250,49.5157844820,218,7.0626195250,49.2907844820
7.4126195250,53.5657844820,7.7626195250,53.7907844820,237,7.4126195250,53.5657844820
7.4126195250,53.3407844820,7.7626195250,53.5657844820,238,7.4126195250,53.3407844820
7.4126195250,53.1157844820,7.7626195250,53.3407844820,239,7.4126195250,53.1157844820
7.4126195250,52.8907844820,7.7626195250,53.1157844820,240,7.4126195250,52.8907844820
7.4126195250,52.6657844820,7.7626195250,52.8907844820,241,7.4126195250,52.6657844820
7.4126195250,52.4407844820,7.7626195250,52.6657844820,242,7.4126195250,52.4407844820
7.4126195250,52.2157844820,7.7626195250,52.4407844820,243,7.4126195250,52.2157844820
7.4126195250,51.9907844820,7.7626195250,52.2157844820,244,7.4126195250,51.9907844820
7.4126195250,51.7657844820,7.7626195250,51.9907844820,245,7.4126195250,51.7657844820
7.4126195250,51.5407844820,7.7626195250,51.7657844820,246,7.4126195250,51.5407844820
7.4126195250,51.3157844820,7.7626195250,51.5407844820,247,7.4126195250,51.3157844820
7.4126195250,51.0907844820,7.7626195250,51.3157844820,248,7.4126195250,51.0907844820
7.4126195250,50.8657844820,7.7626195250,51.0907844820,249,7.4126195250,50.8657844820
7.4126195250,50.6407844820,7.7626195250,50.8657844820,250,7.4126195250,50.6407844820
7.4126195250,50.4157844820,7.7626195250,50.6407844820,251,7.4126195250,50.4157844820
7.4126195250,50.1907844820,7.7626195250,50.4157844820,252,7.4126195250,50.1907844820
7.4126195250,49.9657844820,7.7626195250,50.1907844820,253,7.4126195250,49.9657844820
7.4126195250,49.7407844820,7.7626195250,49.9657844820,254,7.4126195250,49.7407844820
7.4126195250,49.5157844820,7.7626195250,49.7407844820,255,7.4126195250,49.5157844820
7.4126195250,49.2907844820,7.7626195250,49.5157844820,256,7.4126195250,49.2907844820
7.7626195250,53.5657844820,8.1126195250,53.7907844820,275,7.7626195250,53.5657844820
7.7626195250,53.3407844820,8.1126195250,53.5657844820,276,7.7626195250,53.3407844820
7.7626195250,53.1157844820,8.1126195250,53.3407844820,277,7.7626195250,53.1157844820
