hour,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,,pv1,pv2,pv3,pv4,pv5,pv6,,wind1,wind2,wind3,wind4,wind5,wind6
28,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.165206897,0.33930303,0.6,0.253928571,0.47915,0.398357143
29,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.167517241,0.361333333,0.601,0.270178571,0.47445,0.4095
30,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.174724138,0.379848485,0.5738125,0.292678571,0.4706,0.417071429
31,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.182724138,0.384939394,0.5275,0.309571429,0.48305,0.418857143
32,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,,0.003517241,0.000242424,0,0.000642857,0,0,,0.181137931,0.377939394,0.5266875,0.318071429,0.48105,0.416785714
33,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,,0.025931034,0.010848485,0.0178125,0.0225,0.0068,0.008642857,,0.16937931,0.366727273,0.52225,0.31225,0.46445,0.411857143
34,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,0,0,,0.050655172,0.034242424,0.0520625,0.051642857,0.0304,0.021357143,,0.16362069,0.378363636,0.5075,0.291214286,0.43835,0.389928571
35,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,,0.063896552,0.065333333,0.100625,0.079,0.0499,0.025428571,,0.16562069,0.377939394,0.4915625,0.270142857,0.4113,0.3735
36,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,,0.067275862,0.08330303,0.1576875,0.086214286,0.0577,0.0265,,0.161793103,0.365242424,0.4915,0.291642857,0.39395,0.367285714
37,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,0,,0.061448276,0.086848485,0.1583125,0.071464286,0.0684,0.023857143,,0.173655172,0.339636364,0.486125,0.271821429,0.38405,0.354857143
38,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,,0.050275862,0.064121212,0.0895625,0.036035714,0.07155,0.013642857,,0.201517241,0.321,0.4520625,0.296892857,0.38185,0.338285714
39,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,,0.028551724,0.024121212,0.022625,0.005357143,0.02265,0.001428571,,0.224551724,0.321060606,0.4170625,0.304821429,0.38905,0.359071429
40,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,,0.000413793,6.06E-05,0,0,0,0,,0.250103448,0.327969697,0.3899375,0.315642857,0.4177,0.352071429
41,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,,0,0,0,0,0,0,,0.266827586,0.316909091,0.345375,0.322428571,0.419,0.369928571
42,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,0,,0,0,0,0,0,0,,0.259724138,0.297151515,0.2985625,0.32525,0.3971,0.396571429
43,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,,0,0,0,0,0,0,,0.249275862,0.261787879,0.2831875,0.327571429,0.3597,0.391642857
44,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,,0,0,0,0,0,0,,0.241034483,0.241181818,0.28,0.319964286,0.32875,0.364571429
45,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,,0,0,0,0,0,0,,0.218793103,0.217,0.2653125,0.301178571,0.3057,0.350928571
46,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,,0,0,0,0,0,0,,0.189862069,0.195181818,0.263125,0.292571429,0.28865,0.327714286
47,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,,0,0,0,0,0,0,,0.163793103,0.17569697,0.2653125,0.277357143,0.2739,0.303928571
48,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,,0,0,0,0,0,0,,0.139034483,0.159727273,0.2670625,0.247571429,0.26515,0.286857143
49,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,,0,0,0,0,0,0,,0.122862069,0.148666667,0.2681875,0.224178571,0.25465,0.2625
50,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,,0,0,0,0,0,0,,0.111413793,0.152030303,0.2783125,0.210142857,0.25835,0.232142857
51,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,,0,0,0,0,0,0,,0.104551724,0.158545455,0.30325,0.199107143,0.25785,0.2165
52,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,,0,0,0,0,0,0,,0.110931034,0.164151515,0.3364375,0.188107143,0.2621,0.196285714
53,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0,0,0,,0,0,0,0,0,0,,0.139793103,0.181242424,0.3935,0.180678571,0.2831,0.187
54,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0,0,0,,0,0,0,0,0,0,,0.17737931,0.208484848,0.45825,0.176714286,0.3128,0.197
55,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0,0,0,,0,0,0,0,0,0,,0.197413793,0.23830303,0.4949375,0.183107143,0.3508,0.2235
56,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,,0.017034483,0.001060606,0,0.000392857,0,0,,0.201862069,0.269939394,0.5704375,0.198035714,0.4012,0.250642857
57,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,,0.107103448,0.030363636,0.0159375,0.021392857,0.0168,0.005357143,,0.184896552,0.304878788,0.5840625,0.213928571,0.42925,0.274714286
58,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,0,0,,0.221965517,0.082969697,0.0378125,0.093321429,0.04295,0.012857143,,0.159448276,0.335393939,0.5975,0.222678571,0.4906,0.302214286
59,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,,0.259413793,0.121181818,0.0539375,0.167071429,0.06,0.0175,,0.155896552,0.354272727,0.566375,0.2255,0.54035,0.33
60,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,,0.221172414,0.107212121,0.0665,0.238928571,0.0502,0.022785714,,0.169275862,0.371393939,0.5238125,0.2715,0.54915,0.371285714
61,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,,0.148551724,0.06330303,0.082125,0.240714286,0.03885,0.024,,0.185137931,0.366393939,0.52075,0.288,0.5583,0.408357143
62,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,,0.086344828,0.037939394,0.08075,0.135071429,0.0254,0.013642857,,0.20237931,0.365515152,0.51575,0.329428571,0.52635,0.419642857
63,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,,0.034103448,0.014515152,0.03375,0.022642857,0.0093,0.0015,,0.214896552,0.366606061,0.52475,0.385428571,0.52685,0.46
64,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,,0.000344828,3.03E-05,0.00025,0,0,0,,0.243448276,0.37969697,0.551375,0.405785714,0.52285,0.475214286
65,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.260413793,0.391939394,0.581875,0.398,0.5092,0.488857143
66,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.271827586,0.390636364,0.61025,0.384892857,0.5317,0.493357143
67,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,0,0,,0,0,0,0,0,0,,0.282758621,0.40269697,0.6369375,0.380678571,0.56065,0.470214286
68,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.294724138,0.421575758,0.6674375,0.387535714,0.5816,0.479428571
69,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.30362069,0.431333333,0.659625,0.384071429,0.60535,0.476571429
70,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.320724138,0.433454545,0.6679375,0.39525,0.61965,0.464571429
71,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.326689655,0.413787879,0.67625,0.407071429,0.61825,0.473285714
72,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.305931034,0.394272727,0.65675,0.40875,0.6235,0.483357143
73,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.261137931,0.357060606,0.608,0.402464286,0.62385,0.486071429
74,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.210896552,0.316,0.5175625,0.382285714,0.6057,0.490142857
75,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.155896552,0.25530303,0.41125,0.356892857,0.56745,0.504571429
76,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.102896552,0.212787879,0.3426875,0.328714286,0.49965,0.523071429
77,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.069793103,0.185272727,0.308375,0.28825,0.43425,0.518857143
78,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.076413793,0.166757576,0.2955625,0.259571429,0.40325,0.509071429
79,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.121655172,0.160757576,0.2868125,0.24475,0.36945,0.482928571
80,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,0,,0.007413793,0.000333333,0,0.001142857,0.0002,0.000571429,,0.181344828,0.166818182,0.279375,0.233571429,0.34355,0.438357143
81,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,0,0,0,,0.047,0.02030303,0.0195,0.028464286,0.0507,0.050714286,,0.221827586,0.169575758,0.2869375,0.209928571,0.2976,0.385357143
82,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,0,0,,0.073655172,0.054878788,0.06625,0.079214286,0.11475,0.1515,,0.217724138,0.155151515,0.2888125,0.162,0.25145,0.340285714
83,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0,0,0,0,,0.084931034,0.08769697,0.11475,0.126,0.2099,0.263,,0.212896552,0.154787879,0.2939375,0.122035714,0.1935,0.245857143
84,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0,0,0,,0.07962069,0.093666667,0.083625,0.141642857,0.21975,0.254,,0.21162069,0.156969697,0.3376875,0.111357143,0.2033,0.193357143
85,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0,0,,0.055413793,0.071,0.0430625,0.119642857,0.1315,0.192857143,,0.210103448,0.154333333,0.3495625,0.122714286,0.23815,0.1865
86,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,,0.025586207,0.040181818,0.0218125,0.064857143,0.03995,0.097571429,,0.210310345,0.169575758,0.338,0.159,0.29075,0.230857143
87,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,,0.005103448,0.009121212,0.0046875,0.011964286,0.0071,0.011285714,,0.205275862,0.191606061,0.3188125,0.228178571,0.32255,0.301142857
88,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,,0,0,0,0,0,0,,0.181,0.198545455,0.3016875,0.283857143,0.3265,0.337714286
89,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,,0,0,0,0,0,0,,0.163586207,0.191939394,0.2745625,0.288821429,0.2961,0.313357143
90,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,,0,0,0,0,0,0,,0.169862069,0.189939394,0.2588125,0.295714286,0.26075,0.285428571
91,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0,0,,0,0,0,0,0,0,,0.183310345,0.188969697,0.2520625,0.29975,0.2372,0.269214286
92,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,,0,0,0,0,0,0,,0.168413793,0.189727273,0.257375,0.260107143,0.21475,0.271071429
93,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,,0,0,0,0,0,0,,0.138482759,0.174818182,0.2558125,0.231142857,0.2046,0.271785714
94,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,,0,0,0,0,0,0,,0.116310345,0.163909091,0.236375,0.206392857,0.1984,0.240357143
95,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0,0,,0,0,0,0,0,0,,0.106862069,0.15869697,0.2181875,0.204178571,0.1957,0.204214286
